Status,Station Name,Observation Date,Latitude,Longitude,Start Time,End Time,Air Temperature,Wind,Precipitation During Visit,Precipitation in the last 48 hours,The temperature the last 48 hours has been,Species,Call Intensity,Observation Notes,City,County,State,Characterize Land Use,Site Habitat,Wetland Origin,Water Presence,Water Source,Description,Directions To Site
,End of Michele Dr,2022-08-11,41.635979,-72.592455,09:14 pm,09:17 pm,25,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Gray Treefrog,1 - Individuals can be counted; there is space between calls,,Portland ,Middlesex,Connecticut,Suburban,Swamp or Woodland Swamp,Natural,Temporary Every Year,Stream or River,Edge of Woods,"Route 17N at the Portland-Glastonbury Line.  Go East onto Michele Dr, go to the end of the road, just to where it veers off to the right. "
,Harris Shoals Park,2022-08-11,33.870416,-83.420563,09:10 pm,09:13 pm,25.56,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,"Kate, Rob, Ariel, Deb katydids 2, lightning 1",Watkinsville,Oconee,Georgia,Suburban,Freshwater Marsh,Human-made,Permanent,Stream or River,year round freshwater marsh created by man made dam,Intersection of SR 53 and VFW Drive
,Harris Shoals Park,2022-08-11,33.870416,-83.420563,09:10 pm,09:13 pm,25.56,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,"Kate, Rob, Ariel, Deb katydids 2, lightning 1",Watkinsville,Oconee,Georgia,Suburban,Freshwater Marsh,Human-made,Permanent,Stream or River,year round freshwater marsh created by man made dam,Intersection of SR 53 and VFW Drive
,Harris Shoals Park,2022-08-11,33.870416,-83.420563,09:10 pm,09:13 pm,25.56,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Northern Cricket Frog Complex,1 - Individuals can be counted; there is space between calls,"Kate, Rob, Ariel, Deb katydids 2, lightning 1",Watkinsville,Oconee,Georgia,Suburban,Freshwater Marsh,Human-made,Permanent,Stream or River,year round freshwater marsh created by man made dam,Intersection of SR 53 and VFW Drive
,pond near sun valley,2022-08-11,41.97401,-72.3551,08:36 pm,08:39 pm,21.11,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Green Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,Green frog call intensity was barely a 2. Full chorus of katydids and cicada bugs in background.,stafford springs,tolland,Connecticut,Rural,Pond,Not Known,Permanent,Not Known,sm pond bordered by woodsy vegetation on 3 sides and rural road on 4th side.,"heading west on rt 190 in W. Stafford,turn R on Spgfld Rd- site is about 1/4 mile in on L across fr Sun Valley Campground "
,Black Willow Springs,2022-08-11,38.867179,-78.223686,10:00 pm,10:03 pm,25.56,0 - CALM: smoke rises vertically,Medium Rain,Some Precipitation,Above Freezing,Fowler's Toad,1 - Individuals can be counted; there is space between calls,,Front Royal,Warren,Virginia,Rural, ,Natural,Permanent,Stream or River,"small stream and wet area formed just downstream of natural springs, where mountian greenstone changes to valley limestone","Poor House Rd, near junction with Browntown Rd."
,Black Willow Springs,2022-08-11,38.867179,-78.223686,10:00 pm,10:03 pm,25.56,0 - CALM: smoke rises vertically,Medium Rain,Some Precipitation,Above Freezing,Eastern Cricket Frog,1 - Individuals can be counted; there is space between calls,,Front Royal,Warren,Virginia,Rural, ,Natural,Permanent,Stream or River,"small stream and wet area formed just downstream of natural springs, where mountian greenstone changes to valley limestone","Poor House Rd, near junction with Browntown Rd."
,Black Willow Springs,2022-08-11,38.867179,-78.223686,10:00 pm,10:03 pm,25.56,0 - CALM: smoke rises vertically,Medium Rain,Some Precipitation,Above Freezing,Green Treefrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Front Royal,Warren,Virginia,Rural, ,Natural,Permanent,Stream or River,"small stream and wet area formed just downstream of natural springs, where mountian greenstone changes to valley limestone","Poor House Rd, near junction with Browntown Rd."
,Black Willow Springs,2022-08-11,38.867179,-78.223686,10:00 pm,10:03 pm,25.56,0 - CALM: smoke rises vertically,Medium Rain,Some Precipitation,Above Freezing,Cope's Gray Treefrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Front Royal,Warren,Virginia,Rural, ,Natural,Permanent,Stream or River,"small stream and wet area formed just downstream of natural springs, where mountian greenstone changes to valley limestone","Poor House Rd, near junction with Browntown Rd."
,Black Willow Springs,2022-08-11,38.867179,-78.223686,10:00 pm,10:03 pm,25.56,0 - CALM: smoke rises vertically,Medium Rain,Some Precipitation,Above Freezing,Northern Leopard Frog,1 - Individuals can be counted; there is space between calls,,Front Royal,Warren,Virginia,Rural, ,Natural,Permanent,Stream or River,"small stream and wet area formed just downstream of natural springs, where mountian greenstone changes to valley limestone","Poor House Rd, near junction with Browntown Rd."
,Westinghouse Pond,2022-08-11,40.43941,-79.94316,08:46 pm,08:49 pm,21.67,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,"On previous visits the pond had been about 3/4 covered in duckweed.  Today about half of the duckweed has been cleared and some of the pond's banks disturbed. It looked like they dragged the pond weed out along them.  Also, the water was not clear--sort of milky looking.  2 times frogs jumped away before we could really see them.  Heard only 2 frogs.",Pittsburgh,Allegheny,Pennsylvania,Urban,Pond,Artifically Altered,Permanent,Pond,pond with emergent vegetation,intersection of Schenley Dr. and Circuit Rd.
,John's Waterlilly Pond,2022-08-11,39.753393,-77.130976,10:00 pm,12:03 pm,21.11,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Green Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Littlestown,Adams,Pennsylvania,Rural,Pond,Human-made,Permanent,Pond,"Grass banked pond, shade trees, created by bulldozer in early 1960s, duckweed and waterlillies, fish and turtles",169 Updyke Rd.
,John's Waterlilly Pond,2022-08-11,39.753393,-77.130976,10:00 pm,12:03 pm,21.11,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,,Littlestown,Adams,Pennsylvania,Rural,Pond,Human-made,Permanent,Pond,"Grass banked pond, shade trees, created by bulldozer in early 1960s, duckweed and waterlillies, fish and turtles",169 Updyke Rd.
,John's Waterlilly Pond,2022-08-11,39.753393,-77.130976,10:00 pm,12:03 pm,21.11,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Cope's Gray Treefrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Littlestown,Adams,Pennsylvania,Rural,Pond,Human-made,Permanent,Pond,"Grass banked pond, shade trees, created by bulldozer in early 1960s, duckweed and waterlillies, fish and turtles",169 Updyke Rd.
,Backyard Oasis,2022-08-11,42.69063,-83.05808,09:20 pm,09:23 pm,18.33,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,American Toad,0 - No frogs or toads can be heard calling.,,Shelby Township,Macomb,Michigan,Suburban,overflowing stream originating from a lake,Human-made,Permanent,Lake,"This site is a stream/creek that is overflow from a man-made spring-fed lake, flowing partially through a small wooded area","Mound Rd 1/2 mile north of 24 mile rd, west onto Woodmire Rd then 1st street on left is Celestial Ct, 1st house on right, about 150 feet behind house"
,Backyard Oasis,2022-08-11,42.69063,-83.05808,09:20 pm,09:23 pm,18.33,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Gray Treefrog,0 - No frogs or toads can be heard calling.,,Shelby Township,Macomb,Michigan,Suburban,overflowing stream originating from a lake,Human-made,Permanent,Lake,"This site is a stream/creek that is overflow from a man-made spring-fed lake, flowing partially through a small wooded area","Mound Rd 1/2 mile north of 24 mile rd, west onto Woodmire Rd then 1st street on left is Celestial Ct, 1st house on right, about 150 feet behind house"
,Backyard Oasis,2022-08-11,42.69063,-83.05808,09:20 pm,09:23 pm,18.33,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Green Frog,0 - No frogs or toads can be heard calling.,,Shelby Township,Macomb,Michigan,Suburban,overflowing stream originating from a lake,Human-made,Permanent,Lake,"This site is a stream/creek that is overflow from a man-made spring-fed lake, flowing partially through a small wooded area","Mound Rd 1/2 mile north of 24 mile rd, west onto Woodmire Rd then 1st street on left is Celestial Ct, 1st house on right, about 150 feet behind house"
,Backyard Oasis,2022-08-11,42.69063,-83.05808,09:20 pm,09:23 pm,18.33,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Western Chorus Frog,0 - No frogs or toads can be heard calling.,,Shelby Township,Macomb,Michigan,Suburban,overflowing stream originating from a lake,Human-made,Permanent,Lake,"This site is a stream/creek that is overflow from a man-made spring-fed lake, flowing partially through a small wooded area","Mound Rd 1/2 mile north of 24 mile rd, west onto Woodmire Rd then 1st street on left is Celestial Ct, 1st house on right, about 150 feet behind house"
,Litwin Pond,2022-08-11,41.7537,-73.24778,10:11 pm,10:14 pm,21.67,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Green Frog,"3 - Full chorus, calls are constant, continuous and overlapping",,Litchfield,Litchfield,Connecticut,Rural,Pond,Human-made,Permanent,Stream or River,Small pond surrounded by marsh,On North side of beginning of Litwin Rd
,Lishakill,2022-08-11,42.7494,-73.8944,09:00 pm,09:03 pm,22,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,,Colonie,Albany,New York,Suburban,Swamp or Woodland Swamp,Artifically Altered,Permanent,Stream or River,,"North side of Morris Road,  1/2 mile south of railroad tracks"
,Lincoln Marsh,2022-08-11,41.869936,-88.121354,08:58 pm,09:01 pm,19.44,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,,Wheaton,DuPage,Illinois,Suburban,Freshwater Marsh,Natural,Permanent,Not Known,,"Travel south on Gary Ave.  Slight right onto Ellis Ave.  Right on W. Lincoln Ave.  Site is at the end of the road, where the marsh begins.  "
,Drake Dr NCA - VP 1,2022-08-11,39.08522,-77.1068,09:43 pm,09:46 pm,24.44,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,,Rockville,Montgomery,Maryland,Suburban,Vernal Pool,Natural,Temporary Every Year,Not Known,Annual vernal pool in a preserve/park,"Parking on and entering from Russett Rd. or Parkvale Rd., extensions to the main trail, to listen near where there are vernal ponds, at two places, not far in from those entrances."
,MCPD Chippewa Inlet South Wetland 01,2022-08-11,41.07891,-81.91251,09:39 pm,09:42 pm,19.44,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,American Toad,"3 - Full chorus, calls are constant, continuous and overlapping",Saw 3 toads on the trail and this Wolf spider. She has babies on her back and is missing a leg.... Her eyes reflected the light of our headlamps.,Chippewa Lake,Medina,Ohio,Rural,Swamp or Woodland Swamp,Artifically Altered,Temporary Some Years,Stream or River,,
,MCPD Chippewa Inlet South Wetland 01,2022-08-11,41.07891,-81.91251,09:39 pm,09:42 pm,19.44,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Green Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,Saw 3 toads on the trail and this Wolf spider. She has babies on her back and is missing a leg.... Her eyes reflected the light of our headlamps.,Chippewa Lake,Medina,Ohio,Rural,Swamp or Woodland Swamp,Artifically Altered,Temporary Some Years,Stream or River,,
,MCPD Buckeye Woods 01,2022-08-11,41.104856,-81.919173,09:03 pm,09:06 pm,19.44,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,American Toad,"3 - Full chorus, calls are constant, continuous and overlapping",Lots of katydids calling too.,Medina,Medina,Ohio,Suburban,Vernal Pool,Not Known,Temporary Some Years,Not Known,A woodland swamp which has a walking path through it. There are  vernal pools on both sides of the path.,"Park in the southwestern lot of Buckeye Woods Park, near ballfields. Take the connector trail to the Inlet Trail, turn right (North) and stop to survey at the second bend to the right (East) which should be fairly central to the woodland swamp."
,Derwood Station Retention Pond (Crabbs Branch SVP),2022-08-11,39.115103,-77.148928,09:17 pm,09:20 pm,24.44,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Green Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,"Beautiful, great big, full moon visible","Derwood Station, Rockville",Montgomery,Maryland,Suburban,Pond,Human-made,Not Known,Precipitation or Runoff,Newly constructed stormwater retention pond (Station formerly known as Stormwater Retention Pond),"Rt 355 to Indianola Drive, through light into neighborhood. Left on Oskaloosa Dr, Left on Buena Vista Drive, past Mahaska Dr,  few hundred feet to common area on right - walk down paved path to end, follow trail a few hundred feet, pond on right"
,Grinnell Drive (Crabbs Branch Stream Valley Park),2022-08-11,39.11201,-77.14307,08:56 pm,08:59 pm,25.56,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,"Only heard twice - at two different locations approx. 20' apart. The sounds were more like a cough or grunt than a full call, but they definitely had a hint of a green frog ""twang"".",Derwood,Montgomery,Maryland,Suburban,Vernal Pool,Artifically Altered,Temporary Every Year,Not Known,Vernal pool between two cal-de-sac streets,Park at greenway in the middle of Wapello Way and proceed Eastward
,Oskaloosa Drive (Crabbs Branch Stream Valley Park),2022-08-11,39.113438,-77.142801,08:47 pm,08:50 pm,26.11,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,heard geese calling,Derwood,Montgomery,Maryland,Suburban,Wet Meadow,Natural,Permanent,Stream or River,wetland along Crabbs Branch stream,"follow Derwood Station HOA common area path along gas pipeline right of way from Wapello Way east to woods  (start next to 15600 Wapello Way, Derwood MD)  "
,Pine Brook,2022-08-10,41.425642,-72.866118,09:13 pm,09:16 pm,25,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,,North Haven,New Haven,Connecticut,Rural,Pond,Natural,Permanent,Stream or River,"Pine Brook is a stream that flows generally west to east. There is a pond located to the west that has a small dam. Water flows over the dam and continues east. The observation area is located east and downstream of this dam. The area is bordered by an old farmer’s field to the north and hilly, treed terrain to the south. Up the hill and further south is a housing development. ",Use the intersection of Mount Carmel Avenue and Chestnut Lane in Hamden. Park safely and walk south across Mount Carmel Avenue and across the old farmer’s field approximately 200’ to the Pine Brook stream. 
,Sunset Zoo pond,2022-08-10,39.17746,-96.595663,09:54 pm,09:57 pm,23.89,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Northern Cricket Frog Complex,1 - Individuals can be counted; there is space between calls,,Manhattan,Riley,Kansas,Suburban,Pond,Human-made,Permanent,Not Known,Small man-made pond on zoo grounds,"Take the Africa trail that runs along the Cheetah exhibit, heading toward the chimp/colobus. "
,Lowthorpe Meadow pond,2022-08-10,41.5469,-72.0921,08:25 pm,08:31 pm,22.22,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Spring Peeper (Subspecies - Northern),0 - No frogs or toads can be heard calling.,,Norwich,New London,Connecticut,Urban,Pond,Human-made,Permanent,Precipitation or Runoff,,
,Lowthorpe Meadow pond,2022-08-10,41.5469,-72.0921,08:25 pm,08:31 pm,22.22,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Pickerel Frog,0 - No frogs or toads can be heard calling.,,Norwich,New London,Connecticut,Urban,Pond,Human-made,Permanent,Precipitation or Runoff,,
,Lowthorpe Meadow pond,2022-08-10,41.5469,-72.0921,08:25 pm,08:31 pm,22.22,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,American Bullfrog,0 - No frogs or toads can be heard calling.,,Norwich,New London,Connecticut,Urban,Pond,Human-made,Permanent,Precipitation or Runoff,,
,Lowthorpe Meadow pond,2022-08-10,41.5469,-72.0921,08:25 pm,08:31 pm,22.22,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Green Frog,0 - No frogs or toads can be heard calling.,,Norwich,New London,Connecticut,Urban,Pond,Human-made,Permanent,Precipitation or Runoff,,
,Lowthorpe Meadow pond,2022-08-10,41.5469,-72.0921,08:25 pm,08:31 pm,22.22,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Gray Treefrog,"3 - Full chorus, calls are constant, continuous and overlapping",,Norwich,New London,Connecticut,Urban,Pond,Human-made,Permanent,Precipitation or Runoff,,
,Sandy Creek Bird Blind,2022-08-10,33.985183,-83.379845,09:25 pm,09:28 am,26.11,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,,Athens,Clarke,Georgia,,Pond,Human-made,Permanent,Pond,,
,Sandy Creek Bird Blind,2022-08-10,33.985183,-83.379845,09:25 pm,09:28 am,26.11,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Green Treefrog,"3 - Full chorus, calls are constant, continuous and overlapping",,Athens,Clarke,Georgia,,Pond,Human-made,Permanent,Pond,,
,Case Mountain Park,2022-08-10,41.754651,-72.476227,08:34 pm,08:37 pm,25,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,American Toad,"3 - Full chorus, calls are constant, continuous and overlapping",,MANCHESTER,Hartford,Connecticut,Suburban,Swamp or Woodland Swamp,Natural,Temporary Some Years,Stream or River,,229 Dennison Ridge Drive
,Case Mountain Park,2022-08-10,41.754651,-72.476227,08:34 pm,08:37 pm,25,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Gray Treefrog,"3 - Full chorus, calls are constant, continuous and overlapping",,MANCHESTER,Hartford,Connecticut,Suburban,Swamp or Woodland Swamp,Natural,Temporary Some Years,Stream or River,,229 Dennison Ridge Drive
,Brook Haven,2022-08-10,41.932074,-71.276116,10:00 pm,10:03 pm,21.11,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,,Attleboro,USA,Massachusetts,Suburban,Pond,Not Known,Not Known,Not Known,,
,Harris Rd. wetlands,2022-08-10,41.48319,-72.240333,08:35 pm,08:38 pm,21.67,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,American Toad,"3 - Full chorus, calls are constant, continuous and overlapping",,Salem,New London,Connecticut,Rural,Swamp or Woodland Swamp,Natural,Permanent,Not Known,,
,Lake Talbott Kansas State Fair,2022-08-10,38.07808,-97.931185,09:08 pm,09:11 pm,28.33,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,,Hutchinson,Reno,Kansas,Urban,Pond,Human-made,Permanent,Groundwater,"Trees around it, grass, rocks around the edge; water level changes with rainfall","Enter Fairgrounds at 20th & Poplar Entrance, Park at boat ramp. East of Sunflower North, South of Cabin and Scout Buildings. Ft Levenworth ave, 2 tenths of a mile, lake talbott road on the left. survey on dock off ramp. "
,Duckblind,2022-08-10,41.418285,-85.74091,11:30 pm,11:33 pm,18.89,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Green Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Syracuse,Kosciusko,Indiana,Suburban,Bog or Fen,,Permanent,Precipitation or Runoff,1.48 acres of Freshwater Emergent Wetland,"Corner of Chicago St & S Harkless Drive, Syracuse, IN  46567"
,Duckblind,2022-08-10,41.418285,-85.74091,11:30 pm,11:33 pm,18.89,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,American Bullfrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Syracuse,Kosciusko,Indiana,Suburban,Bog or Fen,,Permanent,Precipitation or Runoff,1.48 acres of Freshwater Emergent Wetland,"Corner of Chicago St & S Harkless Drive, Syracuse, IN  46567"
,White Cedar Swamp,2022-08-10,41.97815,-71.43709,08:56 pm,08:59 pm,22.78,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,,Cumberland,,Rhode Island,Suburban,Swamp or Woodland Swamp,Natural,Permanent,Pond,,"View directions from Roger Williams Park Zoo to 212-200 RI-120 in Google Maps.

VIEW IN GOOGLE MAPS
"
,East Sneech Brook,2022-08-10,41.97696,-71.43549,09:05 pm,09:08 pm,22.78,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,I hear more insects than frogs.,Cumberland,,Rhode Island,Suburban,Swamp or Woodland Swamp,Natural,Permanent,Pond,,"View directions from Roger Williams Park Zoo to East Sneech Brook in Google Maps.

VIEW IN GOOGLE MAPS
"
,Black Willow Springs,2022-08-10,38.867179,-78.223686,10:00 pm,10:03 pm,22.22,0 - CALM: smoke rises vertically,Light Rain or Drizzle,Some Precipitation,Above Freezing,Fowler's Toad,1 - Individuals can be counted; there is space between calls,,Front Royal,Warren,Virginia,Rural, ,Natural,Permanent,Stream or River,"small stream and wet area formed just downstream of natural springs, where mountian greenstone changes to valley limestone","Poor House Rd, near junction with Browntown Rd."
,Black Willow Springs,2022-08-10,38.867179,-78.223686,10:00 pm,10:03 pm,22.22,0 - CALM: smoke rises vertically,Light Rain or Drizzle,Some Precipitation,Above Freezing,Eastern Cricket Frog,1 - Individuals can be counted; there is space between calls,,Front Royal,Warren,Virginia,Rural, ,Natural,Permanent,Stream or River,"small stream and wet area formed just downstream of natural springs, where mountian greenstone changes to valley limestone","Poor House Rd, near junction with Browntown Rd."
,Black Willow Springs,2022-08-10,38.867179,-78.223686,10:00 pm,10:03 pm,22.22,0 - CALM: smoke rises vertically,Light Rain or Drizzle,Some Precipitation,Above Freezing,Green Treefrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Front Royal,Warren,Virginia,Rural, ,Natural,Permanent,Stream or River,"small stream and wet area formed just downstream of natural springs, where mountian greenstone changes to valley limestone","Poor House Rd, near junction with Browntown Rd."
,Black Willow Springs,2022-08-10,38.867179,-78.223686,10:00 pm,10:03 pm,22.22,0 - CALM: smoke rises vertically,Light Rain or Drizzle,Some Precipitation,Above Freezing,Cope's Gray Treefrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Front Royal,Warren,Virginia,Rural, ,Natural,Permanent,Stream or River,"small stream and wet area formed just downstream of natural springs, where mountian greenstone changes to valley limestone","Poor House Rd, near junction with Browntown Rd."
,Black Willow Springs,2022-08-10,38.867179,-78.223686,10:00 pm,10:03 pm,22.22,0 - CALM: smoke rises vertically,Light Rain or Drizzle,Some Precipitation,Above Freezing,Northern Leopard Frog,1 - Individuals can be counted; there is space between calls,,Front Royal,Warren,Virginia,Rural, ,Natural,Permanent,Stream or River,"small stream and wet area formed just downstream of natural springs, where mountian greenstone changes to valley limestone","Poor House Rd, near junction with Browntown Rd."
,Lake Isaac Wetlands,2022-08-10,41.355142,-81.825494,11:03 pm,11:06 pm,18.33,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Green Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Middleburg Heights,Cuyahoga,Ohio,Suburban,Swamp or Woodland Swamp,Not Known,Permanent,Not Known,"[AZA - Original coordinates (41.2142, -81.4953) inaccurate. Updated based on map location of Lake Isaac.]",
,Bryan Park at Mowbray Ave.,2022-08-10,37.59838,-77.47448,08:45 pm,08:50 pm,27.22,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,,Richmond,,Virginia,Suburban,Pond,Natural,Permanent,Stream or River,Pond side at corners of Bryan Park and Mowbray Avenues,
,Bryan Park at Mowbray Ave.,2022-08-10,37.59838,-77.47448,08:45 pm,08:50 pm,27.22,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Green Treefrog,1 - Individuals can be counted; there is space between calls,,Richmond,,Virginia,Suburban,Pond,Natural,Permanent,Stream or River,Pond side at corners of Bryan Park and Mowbray Avenues,
,Baldwin Lake Observation Tower,2022-08-10,41.36007,-81.85706,10:14 pm,10:17 pm,18.89,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,,Berea,Cuyahoga,Ohio,County Park,Freshwater Marsh,Natural,Permanent,,"Emergent vegitation (phragmites, cattail) dominate the boarder of this natural lake. Part of the Rocky River East Branch, this site is upstream of the Water Treatment Plant.",Observation towers is located directly accross from Wallace Lake Parking lot.
,Bonnie Park,2022-08-10,41.3339,-81.8339,09:52 pm,09:55 pm,18.89,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,,Strongsville,Cuyahoga,Ohio,,Wet Meadow,Not Known,Temporary Some Years,Precipitation or Runoff,,off of Valley Parkway between Albion & Pearl Roads
,Aukerman Park,2022-08-10,41.30447,-81.75314,09:01 pm,09:04 pm,19.44,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Green Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,North Royalton,Cuyahoga,Ohio,Suburban,Pond,Human-made,Permanent,Precipitation or Runoff,Cleveland Metroparks site began construction in 2014,On the Northeast corner of York road and the Valley Parkway in North Royalton
,Warner Park,2022-08-10,39.174,-96.61667,10:15 pm,10:18 pm,22.78,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,,Manhattan,Riley,Kansas,Suburban,Pond,Human-made,Permanent,Not Known,Small pond at Warner Park,"Park car in Warner park parking lot.  Take the trail to the left, it runs right into the pond."
,Happy Landings,2022-08-10,41.445626,-73.375126,08:43 pm,08:46 pm,25,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,,Brookfield,Fairfield,Connecticut,Suburban,Pond,Natural,Permanent,Not Known,,take path from parking lot and continue northeast to wind mill on left.  Pond is behind wind mill
,Pine Brook,2022-08-09,41.425642,-72.866118,08:49 pm,08:52 pm,28.89,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Much Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,0.16” of rain fell during a brief afternoon event.  Still have a ton of crickets but no frogs or toads. ,North Haven,New Haven,Connecticut,Rural,Pond,Natural,Permanent,Stream or River,"Pine Brook is a stream that flows generally west to east. There is a pond located to the west that has a small dam. Water flows over the dam and continues east. The observation area is located east and downstream of this dam. The area is bordered by an old farmer’s field to the north and hilly, treed terrain to the south. Up the hill and further south is a housing development. ",Use the intersection of Mount Carmel Avenue and Chestnut Lane in Hamden. Park safely and walk south across Mount Carmel Avenue and across the old farmer’s field approximately 200’ to the Pine Brook stream. 
,Smith Lane ponds,2022-08-09,41.8565,-74.2245,10:38 pm,10:42 pm,24.44,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,There has been drought conditions the past month. Saw a toad on the path. ,Accord,Ulster,New York,Rural,Pond,Not Known,Permanent,Stream or River,2 ponds about 50 feet from each other joined by a mountain stream,
,Heiser-Orchid Va,2022-08-09,37.8129,-77.898,,,,,,,,No Species Heard,0 - No frogs or toads can be heard calling.,,Mineral,Louisa,Virginia,Rural,Swamp or Woodland Swamp,Natural,Permanent,Stream or River,,
