Status,Station Name,Observation Date,Latitude,Longitude,Reporting Category,# Observed,Comments,Report ID
,Site 703,2020-12-17,24.551,-81.802,Monarch (OTHER Observations),4,Chrysalis on Palm,"1,526,498,797"
,Site 703,2020-12-17,24.551,-81.802,Monarch Larva Sighted,6,Several Larva on Giant Milkweed Plant,"1,526,498,796"
,Site 41,2020-12-17,17.714,-64.688,Monarch Adult Sighted,1,Flying over hedgerow,"1,526,498,812"
,Site 2753,2020-12-17,28.51,-96.814,Monarch Adult Sighted,1,Spotted Monarch flying across Goff Bayou and almost eaten by a Couch's Kingbird. ,"1,526,498,848"
,Site 2834,2020-12-17,28.613,-81.301,Monarch Larva Sighted,20,"I still have lots of eggs and caterpillars on my milkweed. Also, I have counted up to four adult monarchs flying in the yard at one time as recently as yesterday. ","1,526,498,847"
,Site 3894,2020-12-17,29.483,-94.923,Monarch Larva Sighted,4,"4 different size caterpillars, 1 chrysalis, 1 dead adult butterfly. We had Gail force winds so I don't know if it was the winds or a anole lizard that killed the butterfly.  ","1,526,498,824"
,Site 4127,2020-12-17,29.552,-95.214,Monarch Adult Sighted,1,Had one eclose today in the yard.  ,"1,526,498,821"
,Site 6742,2020-12-17,30.087,-81.6,Monarch Larva Sighted,1,Chrysalis found on a plant in my yard,"1,526,498,941"
,Site 32230,2020-12-17,37.805,-122.273,Monarch Larva Sighted,21,"Patch of milkweed has many larvae ranging from 1/2 inch to several inches long, some appear ready to pupate","1,526,498,846"
,Site 5061,2020-12-17,29.761,-95.37,Monarch Larva Sighted,4,Asclepias curasavica,"1,526,498,820"
,Site 104475,2020-12-16,34.713,-76.968,Hummingbird Sighting,4,"Observed 4 females/juveniles on our feeders today, 2 in the morning and 2 at dusk","1,526,498,777"
,Site 4333,2020-12-16,29.588,-95.579,Monarch Adult Sighted,2,"Temps have been fairly cold (highs of low 50s; overnights in the low 40s), and Monarchs have been scarce in the yard until today.  The sun came out, and I spotted two males (pictured): one nectaring on Sweet Williams (Dianthus barbatus) and trying to locate nectar sources; the second simply basking/resting on Cassia pendula.","1,526,498,767"
,Site 1527,2020-12-16,26.438,-81.798,Monarch Larva Sighted,1,This is instar 1!!! ,"1,526,498,774"
,Site 1527,2020-12-16,26.438,-81.798,Monarch Egg Sighted,1,number 6 of 8,"1,526,498,773"
,Site 1527,2020-12-16,26.438,-81.798,Monarch Egg Sighted,1,number 5 of 8,"1,526,498,772"
,Site 1527,2020-12-16,26.438,-81.798,Monarch Egg Sighted,1,number 3,"1,526,498,770"
,Site 1527,2020-12-16,26.438,-81.798,Monarch Egg Sighted,1,this is number 2 of the 8 I saw,"1,526,498,769"
,Site 1527,2020-12-16,26.438,-81.798,Monarch Egg Sighted,1,Saw 8 in garden but one on each leaf...wil post pictures of all 8 sights.,"1,526,498,768"
,Site 1523,2020-12-16,26.431,-81.811,Monarch Egg Sighted,1,number 4 of 8,"1,526,498,771"
,Site 95921,2020-12-16,29.76,-95.37,"Hummingbird, Nectaring from Flowers",1," Sub adult male Rufous  goes to feeder after salvias.  He's  getting a lot more color, blends in with pergola post stain at feeder. Between 7 and 9 a m. When cold he goes to small high  view  feeder on south  side which is hung in yellow  sophra  blossoms. I have to reheat sugar water daily for this feeder.  Moved all potted salvia close together to cover up because  a light freeze may hit us tonight. He found moved potted  Aimstead  salvia which is his favorite. I do bring in at least 3 potted salvias that being,  'Blue sued shoes, ""'Rokin  deep purple, ''Aimstead salvia ' in case freeze last more than two a.m. hours. Covering  salvias breaks blossoms.Beverly L Houston ","1,526,498,775"
,Site 10947,2020-12-16,31.496,-97.219,Monarch Larva Sighted,3,Monarch caterpillars on tropical milkweed,"1,526,498,832"
,Site 103255,2020-12-16,34.055,-84.565,Hummingbird Sighting,1,mature female at a feeder multiple times,"1,526,498,900"
,Site 3129,2020-12-16,28.933,-81.928,Monarch Adult Sighted,1,"nectaring, possibly laying eggs on milkweed garden","1,526,499,038"
,Site 32580,2020-12-16,37.938,-122.343,"Monarch, Captive-Reared",3,3 hatched today and got released in the garden.,"1,526,498,785"
,Site 1258,2020-12-16,25.983,-80.382,Monarch Adult Sighted,2,The Monarchs are returning to my garden and starting to leave me some Christmas eggs!!!So glad to be celebrating with them this time of the year!!Happy Holidays to all!!MJMorales,"1,526,498,788"
,Site 18002,2020-12-16,33.849,-118.107,Monarch Adult (FIRST sighted),2,first sightings in December were a surprise.  normally monarchs start flying around February as they head inland from their overwintering sites.,"1,526,520,875"
,Site 94269,2020-12-16,24.551,-81.802,Hummingbird Sighting,1,Hummingbird at feeder in garden,"1,526,498,798"
,Site 94415,2020-12-16,26.331,-80.209,Hummingbird Sighting,1,Saw one female 2 wks ago just buzzed in looked at the feeder and left didn't return. Today another female came fed multiple times and Perched in my tree.  First year in this house pretty rewarding!!! ,"1,526,498,776"
,Site 1690,2020-12-16,26.904,-80.114,Monarch Adult Sighted,1,"Circling backyard, seemed to be looking for somewhere to land and tried to land on orchid several times. Looked like abdomen or leg was dangling. ","1,526,498,858"
,Site 1292,2020-12-16,26.067,-80.25,Monarch Larva Sighted,1,Chrysalis. Caterpillar fed on tropical milkweed.,"1,526,498,783"
,Site 1292,2020-12-16,26.067,-80.25,Monarch Larva Sighted,5,I have two other pictures but could only upload one for this entry. Tropical milkweed.,"1,526,498,782"
,Site 1292,2020-12-16,26.067,-80.25,Monarch Egg Sighted,3,Tropical milkweed,"1,526,498,780"
,Site 1234,2020-12-16,25.856,-80.13,Monarch Adult Sighted,1,"Found dead on ground fully intact. bright vibrant colours, no wing damage (wings closed and stuff)","1,526,498,826"
,Site 2802,2020-12-16,28.584,-80.993,Monarch Adult Sighted,1,Flying over berm between patches of Bur-marigold (Bidens laevis),"1,526,498,909"
,Site 2801,2020-12-16,28.584,-80.988,Monarch Adult Sighted,1,Nectaring on Bur-marigold (Bidens laevis),"1,526,498,906"
,Site 2800,2020-12-16,28.583,-80.997,Monarch Adult Sighted,1,Flying over berm,"1,526,498,908"
,Site 2792,2020-12-16,28.576,-80.997,Monarch Adult Sighted,1,Flying over Bidens laevis,"1,526,498,907"
,Site 2435,2020-12-16,28.068,-80.56,Monarch Larva Sighted,4,"tiny, baby caterpillars","1,526,498,841"
,Site 2084,2020-12-16,27.784,-82.672,Monarch Adult Sighted,4,I have consistent sightings in my backyard and will upload pictures shortly.,"1,526,498,856"
,Site 9709,2020-12-16,30.647,-89.657,Monarch Larva Sighted,8,"Nothing left to eat, but milkweed seed pods from tropical milkweed. 8 counted, about 3rd enstar","1,526,498,761"
,Site 16333,2020-12-16,33.374,-111.908,"Monarch, Captive-Reared",1,"This is the first captive-reared female Monarch I have tagged this fall with ID BL306 from Southwest Monarch Study.  On Oct. 24th, I saw eggs on my Desert Milkweed (A. subulata).  On Nov. 19th  I moved three stage 5 larvae into a mesh rearing cage located outside on my patio. On Nov.26, the first pupa formed. And on Dec. 14th, this female eclosed. However the temperature was in the 50's and too cold to release her.  Today it was in the mid 60's, so I tagged and released her onto cosmos blooming in my yard. Please report her to Southwest Monarch Study if you see her.","1,526,498,792"
,Site 5050,2020-12-16,29.76,-95.37,Monarch Adult Sighted,3,We are still seeing tons of adults as well as eggs and larvae here in West Houston.,"1,526,498,766"
,Site 5228,2020-12-16,29.8,-95.968,Monarch (OTHER Observations),2,"Chrysalides attached to freeze dried leaves, found on ground.","1,526,498,803"
,Site 104475,2020-12-15,34.713,-76.968,Hummingbird Sighting,7,"Observed 7 females /juveniles  at our feeders today, 4 in the morning, 1 mid day and 2 at dusk","1,526,498,752"
,Site 1708,2020-12-15,26.933,-82.053,Monarch Adult Sighted,3,"I grow milkweed, so I will have monarchs most of the winter.  These three have been here for several days.","1,526,498,786"
,Site 94599,2020-12-15,27.801,-97.396,Hummingbird Sighting,1,It was feeding at the feeder.,"1,526,498,753"
,Site 1258,2020-12-15,25.983,-80.382,Monarch Adult Sighted,3,I was surprised to see 3 monarchs laying eggs in my milkweed today!!!I am very happy that they are visiting!!  Merry christmas and happy holidays to all!!MJmorales,"1,526,498,787"
,Site 32230,2020-12-15,37.805,-122.273,Monarch Adult Sighted,1,Around a patch of milkweed,"1,526,498,845"
,Site 96349,2020-12-15,29.998,-95.619,Hummingbird Sighting,1,My hummingbird friend who visits my office window feeder each day. ,"1,526,498,744"
,Site 96958,2020-12-15,30.206,-92.05,"Hummingbird, Nectaring from Flowers",1,Our first time to see a hummingbird in a month or two.  This hummingbird was nectaring on our Voodoo Abutilon.  We will keep our eyes open for future visits and report to you!  Thank you for your service. ,"1,526,498,749"
,Site 152722,2020-12-15,49.163,-123.137,Hummingbird Sighting (Adult Male),2,there are two feeding on my balcony.,"1,526,498,747"
,Site 1367,2020-12-15,26.139,-81.796,"Monarch, Captive-Reared",5,Since December 15th I have helped 17 Monarch caterpillars reach pupa stage in an enclosed safety netting and then released them.  One of them did not make it (it was a pupa I found on the side of the house).  I currently have 7 pupa which will be ready in about a week and @ 5 caterpillars outside about a week away from forming chrysalis.  ,"1,526,500,334"
,Site 1330,2020-12-15,26.111,-80.244,Monarch Adult Sighted,2,2 adult female Monarchs,"1,526,498,844"
,Site 1291,2020-12-15,26.067,-80.251,Monarch Adult Sighted,1,Passing by backyard.,"1,526,498,779"
,Site 4487,2020-12-15,29.632,-82.329,Monarch Larva Sighted,3,"3 tiny cats, brought in two weeks ago (because of hard freeze) with all the milkweed that Iâ€™ve propagated and put into tents. One is in the 4th instar and other in the 5th. The largest has made the thread pad and is hanging in the j stage.","1,526,499,219"
,Site 4035,2020-12-15,29.525,-81.238,Monarch Adult Sighted,6,Saw a group of them in flying around my front yard for the first time in a very long time,"1,526,498,872"
,Site 3511,2020-12-15,29.313,-98.402,Monarch Adult Sighted,2,they flew into my shed when I opened door the flew out into the trees  ,"1,526,498,894"
,Site 7793,2020-12-15,30.289,-82.998,Monarch Larva Sighted,1,Found 1 inch long caterpillar on milkweed in my yard.  ,"1,526,498,751"
,Site 6768,2020-12-15,30.096,-84.273,Monarch Adult Sighted,2,Sawgrass Dr off Live Oak Island Rd,"1,526,498,748"
,Site 11516,2020-12-15,32.005,-80.844,Monarch Larva Sighted,3,caterpillar going into chrysalis and two other caterpillars feeding ,"1,526,498,746"
,Site 16757,2020-12-15,33.509,-117.717,Monarch Adult Sighted,2,"No picture, but there were two Monarchs flying. One still appeared brilliantly colored, the other was obviously older with faded wings.","1,526,498,754"
,Site 19019,2020-12-15,34.081,-118.076,Monarch Larva Sighted,10,"5 3rd-4th instar monarch larvae &amp; 5 from just hatched  up to 2nd instar on Milkweed along with 20 eggs on tropical milkweed &amp; common milkweed;however, report for eggs wont upload on journey north.","1,526,498,794"
,Site 104475,2020-12-14,34.713,-76.968,Hummingbird Sighting,6,"Observed 6 females/juveniles at our feeders, 1 in the morning, 3 mid day and 2 at dusk","1,526,498,732"
,Site 94599,2020-12-14,27.801,-97.396,Hummingbird Sighting,1,It was feeding at the feeder.,"1,526,498,742"
,Site 11516,2020-12-14,32.005,-80.844,Monarch Adult Sighted,1,in flight,"1,526,498,734"
,Site 96492,2020-12-14,30.031,-95.53,"Hummingbird, Nectaring from Flowers",1,1 Rufous today at Plants for All seasons(Louetta Rd) nectaring on Turks cap,"1,526,498,726"
,Site 97173,2020-12-14,30.303,-90.973,Hummingbird Sighting,2,"It's cold and wet in south Louisiana and I have 2 birds, with I can't identify. They have been here several weeks.One I call the Non Lander because it cannot figure out it can land on feeder. The other on, different than Non Lander, has always landed on the feeder to eat.Pic is of the sitter.","1,526,498,718"
,Site 113013,2020-12-14,38.356,-75.16,"Hummingbird, Ruby-throated (FIRST)",1,I noticed a humming bird a couple weeks before this a put my feeder back out. The Ruby throated hummingbird bird has stayed all winter. ,"1,526,501,629"
,Site 1788,2020-12-14,27.193,-82.468,Monarch Larva Sighted,12,Have had 12 chrysalis. 6 Monarchs have emerged as if 12/17/2020.,"1,526,498,804"
,Site 1759,2020-12-14,27.061,-82.199,Monarch Larva Sighted,4,Residential Backyard on potted milkweed ,"1,526,498,729"
,Site 1288,2020-12-14,26.061,-97.618,Monarch Larva Sighted,1,"Couldn't confirm three monarch butterflies two weeks ago but found this caterpillar feeding today. Moving slowly, cold front arrived late yesterday, 57 degrees out right now. ","1,526,498,727"
,Site 3032,2020-12-14,28.826,-96.987,Monarch Adult Sighted,4,We have vines in backyard that have attracted them for the last 40 years. Numbers are very low now. ,"1,526,498,830"
,Site 2709,2020-12-14,28.451,-96.415,Monarch Adult Sighted,1,"This Monarch was on the floor of my south deck, and I first thought it was dead. (We'd had very strong north winds the night before, and temps were in the 40s.) I picked it up, and found it was barely alive - kept falling over onto its side. I placed it in a large plastic container, and brought it inside where the temps were in the low 60s. After about an hour, I saw it was trying to stand upright, so I placed a few drops of hummingbird nectar nearby. A couple hours later, the nectar was gone and the Monarch appeared more active. Shortly after, it was attempting to fly. Outside the temps were now in the low 60s, so I carried the container outside and released it. It flew out and away, heading south. Yay! Unfortunately, I didn't hear about the Journey North project until today, so I didn't even think to take photos.","1,526,498,743"
,Site 2696,2020-12-14,28.446,-82.604,Monarch Adult Sighted,4,4 adults flying around my aloysia Vergara bush ,"1,526,498,891"
,Site 2293,2020-12-14,27.981,-81.97,Monarch Adult Sighted,1,Adult monarch seen in my garden.   ,"1,526,498,757"
,Site 3468,2020-12-14,29.286,-81.056,Monarch Adult Sighted,2,"I recently planted tropical milkweed in my backyard, and have been seeing monarchs. This is my first time trying a butterfly garden.","1,526,498,720"
,Site 7518,2020-12-14,30.248,-87.674,Monarch Adult Sighted,1,"I found this butterfly wet and sandy, flat on coast line at beach.  I held it until it looked like it could fly.  I left it out on balcony and when I checked, it had died.  ","1,526,498,755"
,Site 6938,2020-12-14,30.14,-97.932,Monarch Larva (FIRST sighted),1,Observed while working in the garden tending to fennel plants.,"1,526,499,875"
,Site 11524,2020-12-14,32.008,-80.843,Monarch Larva Sighted,3,in a pollinator garden planted on city property,"1,526,498,735"
,Site 12592,2020-12-14,32.485,-80.612,Monarch Larva Sighted,4,I have several milkweed plants &amp; I have had Monarchs lay eggs during January &amp; February the past couple years.  The four larvae are still outside on the milkweed plants.  I saw them  on the 14th.I have two Chrysalises in a cage now &amp; should have butterflies in a couple days.  I released three last week.  ,"1,526,498,740"
,Site 19450,2020-12-14,34.186,-101.718,"Monarch, Captive-Reared",8,"After bringing in potted yelliw blooming milkweed from the freezing nights, I discovered, in the end, 8 monarch caterpillars on the plants.  I moved the pot into the aquarium and added milkweed cuttings as needed from another pot brought in.  Strangely, no caterpillars were on that larger plant. I plan on driving the chrysalis south about 4 hours for warmer weather for the monarchs to have a better chance of survival.","1,526,498,725"
,Site 104475,2020-12-13,34.713,-76.968,Hummingbird Sighting,4,"Observed 4 females/juveniles at our feeder today, 2 in the morning, 1 mid day and 1 near dusk.","1,526,498,710"
,Site 94666,2020-12-13,27.949,-81.418,Hummingbird Sighting,1,A small ruby female/juvenile still here even after the cold front last week in Florida. It got down to 36 degrees here. It comes right after sunrise. The hummer was on the feeder and on the red and the pink Penta flowers. Also on the firecracker fern and the flowers on the night blooming jasmine. ,"1,526,498,737"
,Site 94599,2020-12-13,27.801,-97.396,Hummingbird Sighting,1,IT was feeding at the feeder.,"1,526,498,711"
,Site 1357,2020-12-13,26.136,-97.782,Monarch Adult Sighted,1,A few around. ,"1,526,498,703"
,Site 2890,2020-12-13,28.676,-81.428,Monarch Adult Sighted,2,TheyÃ¯Â¿Â½ve been coming to this flower bed for a few weeks. IÃ¯Â¿Â½ll try to get some pictures tomorrow ,"1,526,498,889"
,Site 2467,2020-12-13,28.092,-82.515,Monarch Adult Sighted,1,Lots of caterpillars...10? Now they are gone...were eating the milkweed...wirh orange flowers.  Every day been seeing a monarch or 2. I have a butterfly garden with flowers...pentas...mexican heather...milkweed in bloom...I have noticed the same monarchs so know they are here in Tampa all winter...Every December I get catterpillars...then they leave and come back as baby monarchs (obviously smaller).  ,"1,526,498,731"
,Site 2446,2020-12-13,28.074,-82.376,Monarch Adult Sighted,1,lettuce lake park FL,"1,526,498,833"
,Site 2295,2020-12-13,27.984,-82.405,Monarch Adult Sighted,2,"I was in the car, passing through the graveyard when two monarch butterflies quickly sped past me. One was an average sized/not too big and the other seemed smaller.","1,526,498,708"
,Site 2239,2020-12-13,27.946,-82.459,Monarch Adult Sighted,2,I will take photos next time but had two last weekend in my backyard in S Tampa. I live near a nature preserve ,"1,526,498,834"
,Site 2342,2020-12-13,28.004,-82.731,Monarch Adult Sighted,1,"I live at The Palms in Clearwater, FL 33763. I spotted an adult monarch butterfly around 10 AM - 11 AM in the middle of the apartment complex. It was soaring through the air, going to its usual spot by the hibiscus bushes.","1,526,498,701"
,Site 3661,2020-12-13,29.425,-98.495,Monarch Adult Sighted,1,windy but sunny today and saw one,"1,526,498,707"
,Site 7167,2020-12-13,30.179,-81.756,Monarch Adult Sighted,1,"No photo, butterfly was flitting from ","1,526,498,715"
,Site 10119,2020-12-13,30.858,-83.303,Monarch Adult Sighted,3,We have milkweed plants and see monarch butterflies daily (1-3) and we saw a caterpillar as well. ,"1,526,498,717"
,Site 9523,2020-12-13,30.582,-84.439,Monarch Adult Sighted,1,Male nectarine on A currasivica  Tagged with SNJ 444.  Also flying  and appeared healthy.,"1,526,499,021"
,Site 8758,2020-12-13,30.43,-84.265,Monarch Adult Sighted,1,Nectaring on Asclepias currisavica,"1,526,498,763"
,Site 8572,2020-12-13,30.405,-91.165,Monarch Adult Sighted,1,"Adult monarch flying by. I have little milkweed left. Cannot confirm but from the way it was flying, assume a female. Still have a few small cats in a cage. ","1,526,498,709"
,Site 19297,2020-12-13,34.157,-118.983,"Monarch, Captive-Reared",1,I keep milkweed in the yard and this cocoon appeared near it. The butterfly was cold so it didnâ€™t leave the first day but when the temperature reached 65 the next day I moved it to a rose bush and it flew away. ,"1,526,498,886"
,Site 19297,2020-12-13,34.157,-118.983,"Monarch, Captive-Reared",1,I keep milkweed in the yard and this cocoon appeared near it. The butterfly was cold so it didnâ€™t leave the first day but when the temperature reached 65 the next day I moved it to a rose bush and it flew away. ,"1,526,498,879"
,Site 19297,2020-12-13,34.157,-118.983,"Monarch, Captive-Reared",1,I keep milkweed in the yard and this cocoon appeared near it. The butterfly was cold so it didn't leave the first day but when the temperature reached 65 the next day I moved it to a rose bush and it flew away. ,"1,526,498,853"
,Site 32658,2020-12-13,37.953,-75.313,Monarch Adult Sighted,1,"Noted butterfly landing on leaf litter, was able to get pic, before flew up above pine trees and was last seen heading south.","1,526,499,134"
,Site 5604,2020-12-13,29.896,-84.382,Monarch Adult Sighted,4,"Saw 4-8 monarchs on out&amp;back walk today. Out: 2 singles separately, 2 together. Back: 4 singles (could have been some I saw on way out.). Temp 80; sun finally out  as complete, thick cloud cover burned off.Terrible pics taken with cell phone.","1,526,498,704"
,Site 104475,2020-12-12,34.713,-76.968,Hummingbird Sighting,7,"Observed 7 juveniles/females at the feeder today.3 in the morning, 2 mid day and 2 at dusk.","1,526,498,683"
,Site 9346,2020-12-12,30.543,-87.902,Monarch Larva Sighted,2,week of 12/6 to 12/12; 2 caterpillars on tropical milkweed,"1,526,498,998"
,Site 95921,2020-12-12,29.76,-95.37,"Hummingbird, Nectaring from Flowers",1,"Rufous is going in Holly tree at 8 a.m. Went to orange  mexican  honeysuckle 2 feet in front of me around 10:30 a.m. Then spent all day in patio area on salvias.    Have no idea still,  if this is Rufous from last year yet.  Even though he is doing similar behavior now in Holy tree,   then nectars in salvias. Now goes to same DrJB  feeder on patio like last years Rufous during day for first time. His Rufous  colors are getting  more vivid also  as he's maturing.   Beverly L.Houston   ","1,526,498,685"
,Site 3732,2020-12-12,29.457,-94.642,Monarch Adult Sighted,3,2 female 1 unknown,"1,526,498,670"
,Site 3046,2020-12-12,28.849,-97.069,Monarch Larva Sighted,1,Somehow a 5th instar survived 28Â° Freeze last week & was munching on remains of frozen milkweed. Brought it inside to handrear on fresh milkweed.,"1,526,498,713"
,Site 12275,2020-12-12,32.374,-80.693,Monarch Larva Sighted,3,And lots of caterpillars,"1,526,498,897"
,Site 94282,2020-12-12,24.69,-81.377,Hummingbird Sighting,2,Have been getting 2 for the past 6 years they arrive First week of October and leave in April looks to be one adult male and one female very territorial with the feeders,"1,526,498,674"
,Site 95086,2020-12-12,29.039,-95.698,Hummingbird Sighting,1,One female ruby throated today ,"1,526,498,681"
,Site 97165,2020-12-12,30.3,-89.726,Hummingbird Sighting,1,One female hummingbird visited our hummingbird feeder around noon.,"1,526,498,700"
,Site 1758,2020-12-12,27.061,-82.2,Monarch Adult Sighted,1,Residential Backyard,"1,526,498,728"
,Site 1499,2020-12-12,26.32,-80.1,Monarch Larva Sighted,5,I am raising the monarch ,"1,526,498,875"
,Site 1484,2020-12-12,26.302,-80.104,Monarch Adult Sighted,3,I also saw a couple days before ,"1,526,498,874"
,Site 1313,2020-12-12,26.092,-97.283,Monarch Adult Sighted,1,"There was one adult monarch flitting about my garden at about 12:30 PM, then it landed on a milkweed.  By the time I could get my camera from indoors, it was gone.LAGUNA VISTA, TX.","1,526,498,680"
,Site 3228,2020-12-12,29.039,-95.698,Monarch Larva Sighted,6,So surprised to see these 6 guys today! We had a light freeze about 2 weeks ago. ,"1,526,498,679"
,Site 3045,2020-12-12,28.849,-97.07,Monarch Egg Sighted,6,Continually finding a small smattering of eggs on what's left of my milkweed after last week's freeze.,"1,526,498,712"
,Site 2282,2020-12-12,27.973,-82.708,Monarch Egg Sighted,9,"We have a milkweed plant, she lays eggs atleast once a month, over summer there was over 60 caterpillars, last week I saw about 8 caterpillars on the plant   ","1,526,498,866"
,Site 7926,2020-12-12,30.311,-97.697,Monarch Adult Sighted,1,"Walked out into my backyard around 3:00 pm CST. Immediately saw an adult Monarch flying away from my Bougainvillea plant. I have about 50 full grown milkweeds (tropical) with half of them in bloom, that I maintain throughout the year. Have not seen any cats since before Halloween. Did not see any more Monarchs. Just that one.","1,526,498,733"
,Site 7496,2020-12-12,30.243,-90.94,Monarch Larva Sighted,16,We have not had a hard freeze yet so my milkweed plant are still green!  And to my great surprise I discovered these babies while checking on some other plants nearby!! ,"1,526,498,684"
,Site 7670,2020-12-12,30.274,-87.683,Monarch Larva Sighted,1,Monarch caterpillar feeding on tropical (non-native) milkweed planting. ,"1,526,498,665"
,Site 7300,2020-12-12,30.207,-97.843,Monarch Larva Sighted,6,Some were very young and others were more developed. ,"1,526,498,675"
,Site 8793,2020-12-12,30.437,-88.972,Monarch Adult Sighted,1,Monarch would flutter around about 30 feet off the ground in the wind and then return to roost in the loblolly pine for about 30 minutes - was still in pine when I left.,"1,526,498,816"
,Site 16759,2020-12-12,33.51,-84.251,Monarch Adult Sighted,1,Overcast day,"1,526,498,690"
,Site 17236,2020-12-12,33.679,-95.512,Monarch Adult Sighted,1,"my flowers are dead now from a freeze, but i got this phot6o on 11/20/20","1,526,498,678"
,Site 16539,2020-12-12,33.449,-117.63,Monarch Egg Sighted,2,I just saw these 2 eggs right next to each other - never seen 2 so close together in 5 years of observing. Thought monarchs only laid one per area. Is this a twin?,"1,526,498,677"
,Site 5688,2020-12-12,29.924,-90.083,Monarch Adult Sighted,1,Adult sighted.It is not unusual to see adult monarchs in Uptown New Orleans in the Fall and Winter,"1,526,498,694"
,Site 104475,2020-12-11,34.713,-76.968,Hummingbird Sighting (Adult Male),1,Surprised to see 1 male hummer at our feeder at dusk today,"1,526,498,654"
,Site 104475,2020-12-11,34.713,-76.968,Hummingbird Sighting,5,"Observed 5 females/juveniles at our feeders today, 2 in the morning,2 midday and 1 at dusk","1,526,498,653"
,Site 4333,2020-12-11,29.588,-95.579,Monarch Larva Sighted,15,"Upon very cursory search in the yard, found at least 15 larvae of varying stages, from 2nd to 5th instar, feeding on leaves of A. curassavica, fascicularis, perennis. I've similarly spotted such quantities over the past couple of weeks, and many have moved on to form chrysalises.  Some have eclosed, others are appearing brown and possibly non-viable, others are still bright green.","1,526,498,620"
,Site 4333,2020-12-11,29.588,-95.579,Monarch Adult Sighted,2,One pair of Monarchs mating,"1,526,498,619"
,Site 98364,2020-12-11,30.734,-96.718,Hummingbird Sighting,3,"These are tiny hummers.  I think they are Calliope's, but cannot get a photo.","1,526,498,633"
,Site 10936,2020-12-11,31.47,-84.376,Monarch Adult Sighted,1,"I have another photo of the identical individual on this NABA report:11 Dec 2020: https://sightings.naba.org/sightings/18793Thank you,Roy CohuttaAlbany, Georgiahttps://bugguide.net/user/view/43980https://www.inaturalist.org/people/3476","1,526,499,144"
,Site 94599,2020-12-11,27.801,-97.396,Hummingbird Sighting,1,It as feeding at the feeder.,"1,526,498,632"
,Site 2113,2020-12-11,27.801,-97.396,Monarch Adult Sighted,1,It was flying around and around in the backyard not landing on anything.,"1,526,498,631"
,Site 9320,2020-12-11,30.538,-87.886,Monarch Adult Sighted,1,flying; released female from yesterday's sighting,"1,526,498,995"
,Site 3661,2020-12-11,29.425,-98.495,Monarch Adult Sighted,1,adult nectaring,"1,526,498,650"
,Site 110726,2020-12-11,37.27,-76.018,Hummingbird Sighting,1,Flew over my head in front yard around 12:30 p.m.,"1,526,498,671"
,Site 2244,2020-12-11,27.948,-80.498,Monarch Egg Sighted,10,eggs on milkweed plants,"1,526,498,840"
,Site 2063,2020-12-11,27.775,-97.107,Monarch Adult Sighted,2,1 tagged and OE parasite sampled ,"1,526,498,625"
,Site 4675,2020-12-11,29.684,-95.081,Monarch Larva Sighted,12,3-5th Instar,"1,526,498,809"
,Site 4398,2020-12-11,29.604,-95.097,Monarch Larva Sighted,5,"As of 01/21/2021 we still have Monarchs frequenting our  backyard. At least  one a week spotted over the last two weeks. Regards,","1,526,499,874"
,Site 4323,2020-12-11,29.587,-95.579,Monarch Adult Sighted,4,"One faded female (pictured) was ovipositing; one egg noted, but I'm certain there are more.  Three males are swooping in and out of the yard in typically territorial (?) fashion -- more swooping and searching behaviors than anything else, but I did spot a male taking a break to nectar off A. curassavica.","1,526,498,635"
,Site 3907,2020-12-11,29.485,-98.451,Monarch Adult Sighted,1,Adult monarch seen in garden. It has been here for the last couple of days,"1,526,498,659"
,Site 3961,2020-12-11,29.501,-95.192,Monarch Adult Sighted,6,"Monarchs have been laying eggs, larva have had plenty of Red Butterfly Asclepias Weed to munch on and they have eventually hatched into adults... several during the first 2 weeks of December!","1,526,498,706"
,Site 7611,2020-12-11,30.266,-87.673,Monarch Adult Sighted,2,In Gulf State Park,"1,526,498,642"
,Site 6892,2020-12-11,30.133,-95.399,Monarch Larva Sighted,6,These seem to range from 1 star to maybe 3rd star. I saw a 5th star a few days ago but he is gone and I canÃ¯Â¿Â½t find his chrysalis. They are eating Tropical milkweed and one is eating Gomphocarpus physocarpus. ,"1,526,498,640"
,Site 7055,2020-12-11,30.161,-81.633,Monarch Adult Sighted,3,These may be ones Iâ€™ve released that are just hanging around. ,"1,526,498,646"
,Site 7166,2020-12-11,30.179,-85.773,"Monarch, Captive-Reared",172,30 under instar 4 in cages34 instar 4 or 5108 chrysalis or jÃ¯Â¿Â½ing stageI have many more eggs and caterpillars on my plants in the yard.  These numbers are in my house due to our cold snap.I did not bring them in as eggs.  Have lost two so far from tachnid fly which is real problem this time of year.  I also have plants in  2 hoop houses since so cold with many more caterpillars.  I will try to get better numbers on that population this week.,"1,526,498,664"
,Site 7164,2020-12-11,30.178,-85.773,Monarch Adult Sighted,1,One female laying eggs on milkweed.Also two male monarchs that evolved in my shed (captive-reared) placed there due to cold.  ,"1,526,498,663"
,Site 9459,2020-12-11,30.569,-96.337,Monarch Adult Sighted,1,The Monarch was flying in our yard. It appeared to be looking for food. ,"1,526,498,621"
