Start Time,End Time,Air Temperature,Wind,Precipitation During Visit,Precipitation in the last 48 hours,The temperature the last 48 hours has been,Species,Call Intensity,Observation Notes,City,County,State,Characterize Land Use,Site Habitat,Wetland Origin,Water Presence,Water Source,Description,Directions To Site,Status,Station Name,Observation Date,Latitude,Longitude
07:08 pm,07:11 pm,12.78,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,Spring Peeper,1 - Individuals can be counted; there is space between calls,,Barton,Phillips,Arkansas,Rural,Swamp or Woodland Swamp,Natural,Permanent,Stream or River,At Lick Creek trail head at Delta Heritage Trail State Park,"South of Barton, AR on Hwy 85 ",,Lick Creek Barton,2021-02-23,34.533889,-90.769077
07:22 pm,07:25 pm,13.89,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping","Ariel (TL), Gordon. ",Athens,Clarke,Georgia,,Pond,Human-made,Permanent,Pond,,,,Sandy Creek Bird Blind,2021-02-23,33.985183,-83.379845
06:31 pm,,11.11,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",Observers: Larry and Susie E,Hampton,,Virginia,Suburban,Mitigation construction,Human-made,Permanent,Precipitation or Runoff,,600 Butler Farm Rd  Hampton Va 23666.  Back of parking lot.,,Workforce Development 2,2021-02-23,37.064687,-76.41561
08:13 pm,08:16 pm,12.78,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,"It was 60 degrees F and sunny today, a warm day after several weeks of weather in the 30s during the day and daily rain showers. Spring peepers heard calling around Turtle Pond.",Spartanburg,Spartanburg,South Carolina,Urban,Pond,Artifically Altered,Permanent,Stream or River,"Urban nature preserve. Data is being collected at Turtle Pond within the nature preserve, which is permanent. There are other vernal pools surrounding Turtle Pond as well.","North side of John B. White, Sr. Blvd. in the City of Spartanburg",,Hatcher Garden,2021-02-23,34.931,-81.957
06:44 pm,06:47 pm,12.22,3 - GENTLE BREEZE:  leaves and twigs in constant motion; small flags extend,None,Some Precipitation,Above Freezing,Spring Peeper (Subspecies - Southern),"3 - Full chorus, calls are constant, continuous and overlapping",,Camp Lejeune,Onslow,North Carolina,Rural,Pond,Human-made,Permanent,Pond,,walk 15 steps of main road,,GP-37 Camp Lejeune,2021-02-23,34.57292,-77.3186
07:07 pm,07:10 pm,10,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",Gordon,Athens,Clarke,Georgia,,Pond,Human-made,Permanent,Pond,,,,Sandy Creek Bird Blind,2021-02-22,33.985183,-83.379845
06:44 pm,06:48 pm,16.11,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Greenwell Springs,East Baton Rouge Parish,Louisiana,Suburban,Pond,Human-made,Permanent,Not Known,"Has fountain in the middle, located next to a development of houses and along a road",,,Wax Rd. Pond,2021-02-22,30.5642,-91.15976
08:08 pm,08:11 pm,4.44,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,"Ariel, Gordon",Athens,Clarke,Georgia,,Pond,Human-made,Permanent,Pond,,,,Sandy Creek Bird Blind,2021-02-20,33.985183,-83.379845
07:00 pm,07:03 pm,7.22,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Columbia,Lexington,South Carolina,Suburban,Swamp or Woodland Swamp,Natural,Permanent,Groundwater,"Wetland runs from open area, with cattails etc, to wooded area by neighborhood. ","Left side of connector road, when going from west to east side of park. Before Big Clay Hill. Park at Dominon Lot. ",,Saluda Meadow Wetland,2021-02-20,34.049897,-81.177
07:15 pm,07:18 pm,7.22,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Columbia,Lexington,South Carolina,Suburban,Vernal Pool,Formed by a Beaver Dam,Temporary Some Years,Groundwater,"Fallen trees have created a great vernal pool, next to an exsisting retention pond",Must enter Saluda Shoals Park ($5 pass fee required) to access this sight. Pool is between retention bond and old pumphouse gravel road behind fields and all-inclusive playground. Contact Saluda Shoals Park rangers for questions 803-604-6012,,Crawfish Wetland,2021-02-20,34.045957,-81.165422
07:16 pm,07:19 pm,7.22,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",Hear a Woodcock,Columbia,Lexington,South Carolina,Suburban,Swamp or Woodland Swamp,Natural,Permanent,Groundwater,"Woodland Swamp hidden from park guest, dominated by willows, and oaks","Park in large parking lot by Tennis Center, walk to woodline by gate house. There is a gate attendant but show frogwatch card, monitoring access possible. Call Saluda Shoals Park Rangers with questions 803-479-986",,Woodduck Swamp,2021-02-20,34.048972,-81.162066
08:33 pm,08:36 pm,0,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper,1 - Individuals can be counted; there is space between calls,,Camp Lejeune,Onslow,North Carolina,Rural,Pond,Human-made,Permanent,Pond,,walk 15 steps of main road,,GP-37 Camp Lejeune,2021-02-20,34.57292,-77.3186
06:44 pm,06:47 pm,7.22,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Spring Peeper,1 - Individuals can be counted; there is space between calls,,Columbia,Lexington,South Carolina,Suburban,Freshwater Marsh,Artifically Altered,Permanent,Groundwater,"Permenant Wetland, approximately 2 acres, public access with day pass purchase, boarkwalk and benches present. Poision Ivy and fire ants. ",Next to the Cattail Shelter,,Saluda Shoals Wetland Preserve,2021-02-20,34.047548,-81.184738
07:35 pm,07:38 am,6,0 - CALM: smoke rises vertically,None,Much Precipitation,Above Freezing,Spring Peeper,1 - Individuals can be counted; there is space between calls,"I heard or or 5 peeps from a spring peeper.
I heard upland chorus frogs while walking and and from the monitoring site.",Ninety Six,Greenwood,South Carolina,Site managed by the National Park Service,Pond,Human-made,Permanent,Pond,"his pond is a fraction of an acre in size.  Surface and emergent vegetation covers most of the pond's surface.  The emergent vegetation grows from the shoreline to several feet into the pond.  The vegetation is so thick, I have seen frogs resting on top of it.  Cattails and water hemlock grow on some the the vegetation mats.  Willows grow along much of the shore.  With the exception of one large oak, the dike has no trees.  The Park personnel regularly maintain the dike. The pond is surrounded by forest.  I have seen water bubbling from the ground on the southwest corner of the pond, so I suspect that it is spring fed.  The pond supports a population of mosquito fish (Gambusia).  The floodplain for Henley Creek is located within about 1/4 mile south of the pond.  This floodplain normally has several vernal pools.","From the instersection of Highway 34 and Highway 248 in the town of Ninety Six, travel two miles south on Highway 248.  The visitor's center for Ninety Six National Historic Site is located on the left.  To get to the pond, walk on the paved trail past the visitor's center to the battlefield.  Follow the trail to the Star Fort.  At the fort, leave the trail and look for an unpaved trail behind the star.  This unpaved trail takes you to a service road, also unpaved.  Turn right onto this service road and take an almost immediate left on a perpendicular service road.  Follow this service road to the small pond.",,NSNHSSP (Ninety Six National Historic Site Small Pond),2021-02-19,34.1421,-82.0141
08:47 pm,08:50 pm,4.44,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,Fog or Mist,Much Precipitation,Above Freezing,Spring Peeper (Subspecies - Southern),1 - Individuals can be counted; there is space between calls,,Camp Lejeune,Onslow,North Carolina,Rural,Pond,Human-made,Permanent,Pond,,walk 15 steps of main road,,GP-37 Camp Lejeune,2021-02-19,34.57292,-77.3186
07:11 pm,07:14 pm,8.89,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Much Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,"Beavers were noisy (2 rating) slapping tails and gnawing. Kate (TL), Gordon, Ariel, Melissa, Chris, Henry",Athens,Clarke,Georgia,,Pond,Human-made,Permanent,Pond,,,,Sandy Creek Bird Blind,2021-02-17,33.985183,-83.379845
06:53 pm,06:56 pm,10,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Spring Peeper,1 - Individuals can be counted; there is space between calls,Diane ,Watkinsville,Oconee,Georgia,Suburban,Freshwater Marsh,Human-made,Permanent,Stream or River,year round freshwater marsh created by man made dam,Intersection of SR 53 and VFW Drive,,Harris Shoals Park,2021-02-17,33.870416,-83.420563
10:00 pm,10:03 pm,-0.56,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Below Freezing,Spring Peeper,0 - No frogs or toads can be heard calling.,,Front Royal,Warren,Virginia,Rural, ,Natural,Permanent,Stream or River,"small stream and wet area formed just downstream of natural springs, where mountian greenstone changes to valley limestone","Poor House Rd, near junction with Browntown Rd.",,Black Willow Springs,2021-02-16,38.867179,-78.223686
07:11 pm,07:14 pm,7.22,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper,1 - Individuals can be counted; there is space between calls,,Irmo,Richland,South Carolina,Urban,Pond,Human-made,Permanent,Pond,Pond around the Chestnut Hill Plantation club house and park,Pull into the clubhouse parking lot.,,Chestnut Hill Plantation Club House Pond,2021-02-16,34.122677,-81.137681
06:35 pm,06:38 pm,11.11,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Hampton,,Virginia,Suburban,mitigation construction,Human-made,Permanent,Precipitation or Runoff,pond area in the mitigation construcion,"600 Butler Farm Rd, Hampton VA, 23606.  Back parking lot",,Workforce Development Pond,2021-02-16,37.06351,-76.41482
06:27 pm,06:30 pm,11.11,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Hampton,,Virginia,Suburban,Mitigation construction,Human-made,Permanent,Precipitation or Runoff,,600 Butler Farm Rd  Hampton Va 23666.  Back of parking lot.,,Workforce Development 2,2021-02-16,37.064687,-76.41561
06:01 pm,,,,,Much Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,The weather has been cold - this one day at 50 tonight will be 30 again.,,,Virginia,Suburban,Pond,Human-made,Permanent,Precipitation or Runoff,Small pond made from a low area in the yard.  It has a deep end that is full most of the time while one side tends to dry out in dry periods.,Rt. 13S to Left on Accomac Rd.  Turn Right on Front St and then quickly Right on Drummondtown Rd.  Turn left onto Custis Neck Rd and I am 25006.,,Dragonfly's Delight Pond,2021-02-16,37.686753,-75.648306
06:20 pm,06:23 pm,11.11,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Hampton,,Virginia,Suburban,Mitigation construction,Human-made,Permanent,Precipitation or Runoff,Observer: Larry Lewis,"600 Butler Farm Road, Hampton, Va, 23666. Back parking lot",,Workforce Development,2021-02-16,37.06331,-76.41545
06:34 pm,06:37 pm,13.33,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Columbia,Lexington,South Carolina,Suburban,Swamp or Woodland Swamp,Natural,Permanent,Groundwater,"Woodland Swamp hidden from park guest, dominated by willows, and oaks","Park in large parking lot by Tennis Center, walk to woodline by gate house. There is a gate attendant but show frogwatch card, monitoring access possible. Call Saluda Shoals Park Rangers with questions 803-479-986",,Woodduck Swamp,2021-02-12,34.048972,-81.162066
06:49 pm,06:52 pm,13.33,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Columbia,Lexington,South Carolina,Suburban,Swamp or Woodland Swamp,Natural,Permanent,Groundwater,"Wetland runs from open area, with cattails etc, to wooded area by neighborhood. ","Left side of connector road, when going from west to east side of park. Before Big Clay Hill. Park at Dominon Lot. ",,Saluda Meadow Wetland,2021-02-11,34.049897,-81.177
06:43 pm,06:46 pm,13.33,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Columbia,Lexington,South Carolina,Suburban,Vernal Pool,Formed by a Beaver Dam,Temporary Some Years,Groundwater,"Fallen trees have created a great vernal pool, next to an exsisting retention pond",Must enter Saluda Shoals Park ($5 pass fee required) to access this sight. Pool is between retention bond and old pumphouse gravel road behind fields and all-inclusive playground. Contact Saluda Shoals Park rangers for questions 803-604-6012,,Crawfish Wetland,2021-02-11,34.045957,-81.165422
07:04 pm,07:07 pm,13.33,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Columbia,Lexington,South Carolina,Suburban,Freshwater Marsh,Artifically Altered,Permanent,Groundwater,"Permenant Wetland, approximately 2 acres, public access with day pass purchase, boarkwalk and benches present. Poision Ivy and fire ants. ",Next to the Cattail Shelter,,Saluda Shoals Wetland Preserve,2021-02-11,34.047548,-81.184738
10:00 pm,10:03 pm,0,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,Light Rain or Drizzle,Some Precipitation,Below Freezing,Spring Peeper,0 - No frogs or toads can be heard calling.,,Front Royal,Warren,Virginia,Rural, ,Natural,Permanent,Stream or River,"small stream and wet area formed just downstream of natural springs, where mountian greenstone changes to valley limestone","Poor House Rd, near junction with Browntown Rd.",,Black Willow Springs,2021-02-10,38.867179,-78.223686
07:09 pm,07:11 pm,17.17,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Spring Peeper,1 - Individuals can be counted; there is space between calls,"Kate (TL), Gordon, Ariel",Athens,Clarke,Georgia,,Pond,Human-made,Permanent,Pond,,,,Sandy Creek Bird Blind,2021-02-09,33.985183,-83.379845
06:53 pm,,15.56,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Spring Peeper,1 - Individuals can be counted; there is space between calls,Diane and Debora. Site seemed different. Not sure if just lack of foliage or if site has had any work recently. Will check it out in daylight.,Watkinsville,Oconee,Georgia,Suburban,Freshwater Marsh,Human-made,Permanent,Stream or River,year round freshwater marsh created by man made dam,Intersection of SR 53 and VFW Drive,,Harris Shoals Park,2021-02-09,33.870416,-83.420563
06:38 pm,06:41 pm,16.11,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Greenwell Springs,East Baton Rouge Parish,Louisiana,Suburban,Pond,Human-made,Permanent,Not Known,"Has fountain in the middle, located next to a development of houses and along a road",,,Wax Rd. Pond,2021-02-08,30.5642,-91.15976
06:44 pm,,12.78,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,Spring peepers started calling last week but overnight temps were at and below freexing,Aiken,Aiken,South Carolina,Suburban,Pond,Human-made,Permanent,Stream or River,Former swimming pond with two dams creating Wildwood Lakes,Intersection of Bradley Mill and Summer Lakes Drive,,Wildwood Lake,2021-02-08,33.619015,-81.673007
06:28 pm,06:31 pm,12.22,0 - CALM: smoke rises vertically,None,Much Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Greenwell Springs,East Baton Rouge Parish,Louisiana,Suburban,Pond,Human-made,Permanent,Not Known,"Has fountain in the middle, located next to a development of houses and along a road",,,Wax Rd. Pond,2021-02-07,30.5642,-91.15976
07:24 pm,07:27 pm,13.33,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Spring Peeper,1 - Individuals can be counted; there is space between calls,,Columbia,Lexington,South Carolina,Suburban,Freshwater Marsh,Artifically Altered,Permanent,Groundwater,"Permenant Wetland, approximately 2 acres, public access with day pass purchase, boarkwalk and benches present. Poision Ivy and fire ants. ",Next to the Cattail Shelter,,Saluda Shoals Wetland Preserve,2021-02-07,34.047548,-81.184738
10:00 pm,10:03 pm,3.33,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Below Freezing,Spring Peeper,1 - Individuals can be counted; there is space between calls,,Front Royal,Warren,Virginia,Rural, ,Natural,Permanent,Stream or River,"small stream and wet area formed just downstream of natural springs, where mountian greenstone changes to valley limestone","Poor House Rd, near junction with Browntown Rd.",,Black Willow Springs,2021-02-06,38.867179,-78.223686
10:00 pm,10:03 pm,0,3 - GENTLE BREEZE:  leaves and twigs in constant motion; small flags extend,None,Some Precipitation,Below Freezing,Spring Peeper,0 - No frogs or toads can be heard calling.,,Front Royal,Warren,Virginia,Rural, ,Natural,Permanent,Stream or River,"small stream and wet area formed just downstream of natural springs, where mountian greenstone changes to valley limestone","Poor House Rd, near junction with Browntown Rd.",,Black Willow Springs,2021-02-05,38.867179,-78.223686
10:00 pm,12:00 pm,3.33,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,Fog or Mist,Much Precipitation,Below Freezing,Spring Peeper,1 - Individuals can be counted; there is space between calls,,Front Royal,Warren,Virginia,Rural, ,Natural,Permanent,Stream or River,"small stream and wet area formed just downstream of natural springs, where mountian greenstone changes to valley limestone","Poor House Rd, near junction with Browntown Rd.",,Black Willow Springs,2021-02-04,38.867179,-78.223686
06:47 pm,06:53 pm,7.78,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Greenwell Springs,East Baton Rouge Parish,Louisiana,Suburban,Pond,Human-made,Permanent,Not Known,"Has fountain in the middle, located next to a development of houses and along a road",,,Wax Rd. Pond,2021-02-02,30.5642,-91.15976
06:30 pm,06:35 pm,12.78,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Greenwell Springs,East Baton Rouge Parish,Louisiana,Suburban,Pond,Human-made,Permanent,Not Known,"Has fountain in the middle, located next to a development of houses and along a road",,,Wax Rd. Pond,2021-02-01,30.5642,-91.15976
06:25 pm,06:30 pm,8.89,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper (Subspecies - Southern),2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Baker,East Baton Rouge Parish,Louisiana,,,,,,,,,Greenwood Community Park,2021-02-01,30.596435,-91.157897
09:30 pm,09:33 pm,20,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Much Precipitation,Above Freezing,Spring Peeper (Subspecies - Northern),1 - Individuals can be counted; there is space between calls,"Two rain storms: one late morning, one mid-afternoon","Westborough
","Worcester
",Massachusetts,Suburban,Prairie Pothole,Artifically Altered,Permanent,Stream or River,"Alongside Bowman Street, between #95 and #97 is a pond, created by a man-made barrier that backs up the natural stream. The barrier is a simple concrete wall placed as a barrier to the stream's natural progression. The pond created by the barrier is approx 30 wide and 40 feet deep. The pond is filled with the plant growth you'd expect for the region. There are abundent reeds and water plants both in, along the edge of and nearby to the pond. Trees tower over the pond and the edge Upton State Forest is scarce 50 yrds further back from the pond.
","From Zoo: I-95 North to I-495 North (in MA) to Rt-9 West to Rt-30 West to Rt-135 East (at Westborough Rotary), to Upton Rd (south towards Upton) to Bowman Street to #95 / #97 Bowman St.  Approx 50 minutes travel from Zoo to site.
",,Bowman Street Pond,2020-12-04,42.23,-71.607
09:35 pm,09:38 pm,15,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Spring Peeper,0 - No frogs or toads can be heard calling.,,Plymouth Township,Wayne,Michigan,Suburban,Pond,Human-made,Permanent,Pond,Pond constructed between subdivisions along Napier Rd,"East side of Napier Rd between Ann Arbor Rd and Powell Rd, Plymouth Township. MI",,Napier Road,2020-08-18,42.3603,-83.5479
09:15 pm,09:18 pm,18.33,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Spring Peeper,0 - No frogs or toads can be heard calling.,,Plymouth Township,Wayne,Michigan,Suburban,Pond,Human-made,Permanent,Pond,Pond constructed between subdivisions along Napier Rd,"East side of Napier Rd between Ann Arbor Rd and Powell Rd, Plymouth Township. MI",,Napier Road,2020-08-07,42.3603,-83.5479
09:35 pm,09:38 pm,22.22,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper,0 - No frogs or toads can be heard calling.,,Plymouth Township,Wayne,Michigan,Suburban,Pond,Human-made,Permanent,Pond,Pond constructed between subdivisions along Napier Rd,"East side of Napier Rd between Ann Arbor Rd and Powell Rd, Plymouth Township. MI",,Napier Road,2020-07-29,42.3603,-83.5479
10:45 pm,10:48 pm,21.67,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Spring Peeper (Subspecies - Northern),0 - No frogs or toads can be heard calling.,Single call very faint,Lake Orion,Oakland,Michigan,Suburban,Swamp or Woodland Swamp,Natural,Permanent,Groundwater,Site is wooded and contains low brush.  Water level drops through the summer.  There is a permanent pond about 600 feet into the swamp.  Pond is only accessible in extremely dry years or during winter.  Area is a designated wetland on township maps. [AZA - show duplicate and merge in FS],Located about 1000 feet behind house at 3315 Indianwood Rd. Lake Orion MI 48362,,Indianwood Swamp,2020-07-27,42.78062,-83.31297
10:32 pm,10:35 pm,22.22,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Spring Peeper (Subspecies - Northern),0 - No frogs or toads can be heard calling.,All quiet again,Lake Orion,Oakland,Michigan,Suburban,Vernal Pool,Natural,Temporary Every Year,Groundwater,Site is wooded and surrounded by low brush.  Water is not easily acessible.  [AZA - keep duplicate and merge in FS],,,Indianwood Vernal Pool,2020-07-27,42.78204,-83.31331
10:40 pm,10:43 pm,21.67,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Spring Peeper (Subspecies - Northern),0 - No frogs or toads can be heard calling.,All quiet again,Lake Orion,Oakland,Michigan,Suburban,Vernal Pool,Natural,Temporary Every Year,Groundwater,Site is wooded and surrounded by low brush.  Water is not easily acessible.  [AZA - keep duplicate and merge in FS],,,Indianwood Vernal Pool,2020-07-27,42.78204,-83.31331
10:32 pm,10:35 pm,22.22,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Spring Peeper (Subspecies - Northern),0 - No frogs or toads can be heard calling.,All quiet again,Lake Orion,Oakland,Michigan,Suburban,Swamp or Woodland Swamp,Natural,Permanent,Groundwater,Site is wooded and contains low brush.  Water level drops through the summer.  There is a permanent pond about 600 feet into the swamp.  Pond is only accessible in extremely dry years or during winter.  Area is a designated wetland on township maps. [AZA - show duplicate and merge in FS],Located about 1000 feet behind house at 3315 Indianwood Rd. Lake Orion MI 48362,,Indianwood Swamp,2020-07-23,42.78062,-83.31297
10:40 pm,10:43 pm,7.78,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Buffalo,Erie,New York,Gravel road,Pond,Human-made,Permanent,Stream or River,,"77 Honorine Drive
Depew 14043

formerly named ""Reinstein Woods 1""",,Heron Pond (1),2020-07-03,42.8881,-78.7174
10:07 pm,10:10 pm,24.44,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Rochester,Monroe,New York,Urban,Pond,Human-made,Permanent,Stream or River,,,,Seneca Park Trout Pond,2020-07-03,43.210582,-77.62012
09:20 pm,09:23 pm,25.56,0 - CALM: smoke rises vertically,Light Rain or Drizzle,Much Precipitation,Above Freezing,Spring Peeper (Subspecies - Northern),2 - Calls of individuals can be distinguished but there is some overlapping of calls,"At 8PM, brief rain with heat lightning. The party from last night continues. ","Westborough
","Worcester
",Massachusetts,Suburban,Prairie Pothole,Artifically Altered,Permanent,Stream or River,"Alongside Bowman Street, between #95 and #97 is a pond, created by a man-made barrier that backs up the natural stream. The barrier is a simple concrete wall placed as a barrier to the stream's natural progression. The pond created by the barrier is approx 30 wide and 40 feet deep. The pond is filled with the plant growth you'd expect for the region. There are abundent reeds and water plants both in, along the edge of and nearby to the pond. Trees tower over the pond and the edge Upton State Forest is scarce 50 yrds further back from the pond.
","From Zoo: I-95 North to I-495 North (in MA) to Rt-9 West to Rt-30 West to Rt-135 East (at Westborough Rotary), to Upton Rd (south towards Upton) to Bowman Street to #95 / #97 Bowman St.  Approx 50 minutes travel from Zoo to site.
",,Bowman Street Pond,2020-07-02,42.23,-71.607
09:26 pm,09:29 pm,20,0 - CALM: smoke rises vertically,None,Much Precipitation,Above Freezing,Spring Peeper (Subspecies - Northern),2 - Calls of individuals can be distinguished but there is some overlapping of calls,3-7PM: showers and one good strong downpour. Quite the party!,"Westborough
","Worcester
",Massachusetts,Suburban,Prairie Pothole,Artifically Altered,Permanent,Stream or River,"Alongside Bowman Street, between #95 and #97 is a pond, created by a man-made barrier that backs up the natural stream. The barrier is a simple concrete wall placed as a barrier to the stream's natural progression. The pond created by the barrier is approx 30 wide and 40 feet deep. The pond is filled with the plant growth you'd expect for the region. There are abundent reeds and water plants both in, along the edge of and nearby to the pond. Trees tower over the pond and the edge Upton State Forest is scarce 50 yrds further back from the pond.
","From Zoo: I-95 North to I-495 North (in MA) to Rt-9 West to Rt-30 West to Rt-135 East (at Westborough Rotary), to Upton Rd (south towards Upton) to Bowman Street to #95 / #97 Bowman St.  Approx 50 minutes travel from Zoo to site.
",,Bowman Street Pond,2020-07-01,42.23,-71.607
11:19 pm,11:22 pm,15,0 - CALM: smoke rises vertically,Fog or Mist,Much Precipitation,Above Freezing,Spring Peeper (Subspecies - Northern),"3 - Full chorus, calls are constant, continuous and overlapping","Fog. 4 species, 3 choruses. 1.14 inches of rain from yesterday all day (0.58'') until 7PM today (0.56'').",Effingham,Carroll,New Hampshire,Rural,Freshwater Marsh,Natural,Permanent,Stream or River,"
This South River drains Province Lake. It flow beside Bailey Road for a couple hundred feet, then passes through a culvert an into an extensive wetland complex, where it winds back and forth. Lots of beavers make dams in there. I've canoed the whole thing. Listen atop the culvert.
","
Rt. 95 North into New Hampshire Rt. 16 North into town of Wakefield Right turn onto Rt. 153 North Enter State of Maine while driving along edge of Province Lake Rt. 153 will pass through Province Lake golf course, then soon straddle state line. Turn left on Bailey Road (into NH), not too far from the golf course (not measured). Drive until lake appears immediately to your left. Continue until lake is no longer immediately next to road and park soon. Listen atop the culvert where the South River flows under Bailey Road
",,South River Marsh at Province Lake Outlet,2020-07-01,43.70045,-70.998217
10:31 pm,10:34 pm,15.56,0 - CALM: smoke rises vertically,Fog or Mist,Much Precipitation,Above Freezing,Spring Peeper (Subspecies - Northern),"3 - Full chorus, calls are constant, continuous and overlapping","Fog. 5 species, 4 chorus! 1.14 inches rain from yesterday all day (0.58'') until 7PM today (0.56'').",Parsonsfield,York,Maine,Rural,Swamp or Woodland Swamp,Natural,Permanent,Not Known,"One side of the road is golf course. The other side is all woods. At this location there is a swamp in the woods, which drains through a culvert under Mountain Road into a tiny pond, then an underground stream. Water source is a combination of small streams, precipitation, and groundwater. Listen atop the culvert.","
Rt. 95 North into New Hampshire Rt. 16 North into town of Wakefield Right turn onto Rt. 153 North Enter State of Maine while driving along edge of Province Lake When leaving lake edge you will be at the Province Lake golf course, both sides of road. Turn right onto paved Mountain Road, where there is a sign for the golf course. Go 0.4 mile from Rt. 153 and park at intersection with Emery Road (private), dirt road on right. Walk ~100 feet further along Mountain Road to culvert to listen.
",,Province Lake Golf Course,2020-07-01,43.693317,-70.9691
