Status,Station Name,Observation Date,Latitude,Longitude,Observation Time,Observation Notes,Relative Humidity,Barometric Pressure,Air Temperature,Wind Direction ,Visibility ,Water Temperature,Turbidity,Secchi Depth,Width,Depth,Stream Discharge,Surface Water Appearance,Stream Bank Eroision,Water Type,Salinity,Conductivity,Dissolved Oxygen,Nitrate,Ammonia,Phosphate,pH,Biological Oxygen Demand,Total Dissolved Solids,Fecal Coliform,Dissolved Carbon Dioxide,Tolerant Macroinvertebrates,Less Sensitive Macroinvertebrates,Sensitive Macroinvertebrates,Total Index Value,Caddisfly (Trichoptera-Other),Mayfly (Ephemeroptera),Stonefly (Plecoptera),Watersnipe Flies (Diptera-Athericidae),Riffle Beetles (Elmidae),Water Pennies (Psephenidae),Gilled Snails (Viviparidae),Dobsonfies (Corydalinae),Fishflies (Chauliodinae),Netspinning Caddisfly (Trichoptera-Hydropsychidae),Damselflies (Zygoptera),Dragonflies (Anisoptera),Alderflies (Sialidae),Crayfish (Astacoidea),Scuds (Amphipoda),Aquatic Sowbugs (Isopoda),Clams (Sphaeriidae),Mussels (Palaeoheterodonta),Aquatic Worms (Oligochaeta),Black Flies (Diptera-Simuliidae),Midge Flies,Leeches (Hirundinea),Lunged Snails (Pulmonata),Other Macroinvertebrate,silt (mud),"sand (1/16"" - 1/4"" grains)","gravel (1/4"" - 2"" stones)","cobbles (2"" - 10"" stones)","boulders (> 10"" stones)",trees,shrubs,grass,bare soil,rocks,other
,Adkins Arboretum,2013-10-29,38.953702,-75.93131,,,,,,,,12.78,3,300,,,,clear but tea-colored,35.0,,0,,10,2,,0.2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,5,,,90,5,5,,,
,North Point State Park,2013-10-24,39.218202,-76.418055,12:00 pm,"Audubon Watershed Experience 
National Audubon Society at Patterson Park",,,,,,15.56,70,,,,,,,,20,,2,2,,,7.5,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,NHHS Campus Stream,2013-10-22,39.674271,-76.396739,,,83,"1,015.96",16,,,12,0,,,,,clear,35,,0,,10,2,0,0.2,7,,,,,2,19,25,11,,,,,,,,,,,,,,,,,,,,,,,,,5,5,50,40,,50,50,0,0,0,0
,NHHS Campus Stream,2013-10-22,39.674271,-76.396739,,,83,"1,015.96",16,,,12,0,0,,,,clear,35,,0,0,10,2,0,0.2,7,,,,,2,19,25,11,,,,,,,,,,,,,,,,,,,,,,,,,5,5,40,50,0,50,50,0,0,0,0
,Janes Island State Park,2013-10-17,37.997279,-75.862905,09:05 pm,Kayak launch area,78,,20.56,,,21,,251.46,,,,gray,15.0,,18.1,,3.6,0,,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,20,20,5,10,15
,St. Mary's High School,2013-10-15,38.973828,-76.487696,,,,,20.5,,,19,,200,,,,,,,10,,2,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NHHS Campus Stream,2013-10-11,39.674271,-76.396739,,,83,"1,024.43",16,,,12,0,0,,,1,clear,35,,0,,10,2,0,0.2,7,,,,,2,19,25,11,,,,,,,,,,,,,,,,,,,,,,,,,5,5,50,40,,50,50,,,,
,Trap Pond State Park boat dock,2013-10-03,38.527624,-75.480345,,,,,28.33,,,22,,,,,,clear but tea-colored,,,0,,11.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Two-run Creek at footbridge,2013-09-24,38.782354,-76.70061,,,,,,,,13,,,,,,,,,0.05,,9.87,0.19,,1.85,6.65,,,,,23,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Two-run Creek at footbridge,2013-09-24,38.782354,-76.70061,,,,,,,,13,,,,,,clear,15,,0.05,,9.87,0.19,,1.85,6.65,,,,,23,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Two-run Creek at footbridge,2013-09-24,38.782354,-76.70061,,,,,,,,13,,,,,,clear,15,,0.05,,9.87,0.19,,1.85,6.65,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHS Crow's Nest,2013-09-24,39.61986,-77.43038,,,,,,,,14.22,0.2,,,,,,,,0,181,9.77,10.7,,,7.41,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Point State Park,2013-09-20,39.218202,-76.418055,12:00 pm,"Audubon Watershed Experience 
National Audubon Society at Patterson Park",,,26.67,,,20,22,,,,,,,,9,,2,2,,,6.5,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,North Point State Park,2013-09-09,39.218202,-76.418055,12:00 pm,"Audubon Watershed Experience 
National Audubon Society at Patterson Park",,,18.33,,,15.56,10,,,,,,,,10,,1,2,,,8,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,St. Mary's High School,2013-08-30,38.973828,-76.487696,,,,,27,,,25,,85,,,,,,,10,,3,0.5,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BIshops HEad,2013-08-07,38.228403,-76.044863,,,,,,,,24.9,6,,,,,,,,13.27,,8.4,,,,8.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BIshops HEad,2013-08-07,38.228403,-76.044863,,,,,,,,25,5.4,,,,,,,,13.3,,8.38,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cemetery Beach,2013-08-07,38.228916,-76.050614,,,,,,,,24.6,,,,,,,,,12.63,,6.94,,,,7.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Otter Point Creek,2013-07-18,38.500095,-78.00043,,,75,,33,,,32,19,35,,,,,,,0.01,,8,1.1,,0.02,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,8,3,,,
,smith tall horse hummock,2013-07-10,38.676857,-76.174507,,,81,,,,,28.1,,120,,,,clear,,,15.5,,6.1,0.4,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,100,0,0,
,OPCES,2013-06-24,39.445761,-76.272358,,,,,29.94,,,24,,37,,,,muddy,,,0.12,,7.7,0.25,,0.02,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scotch Bonnett Creek,2013-06-02,39.05,-74.77,,,,,,,,24.5,,14,,,,,,,37,,7.6,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chapel Branch Nature Area,2013-05-14,38.630382,-75.642114,,,,,14.44,,,13.89,0,,,,19.42,clear,15,,0,,8,8,,,6.8,,,,,9,126,0,9,,,,,,,,,,,,,,,,,,,,,,,,,10,90,,,,5,10,80,5,,
,Chapel Branch Nature Area,2013-05-14,38.630382,-75.642114,,,,,14.44,,,13.89,0,,,,19.42,clear,15,,0,,8,8,,,6.8,,,,,9,126,0,9,,,,,,,,,,,,,,,,,,,,,,,,,10,90,,,,5,10,80,5,,
,Chapel Branch Nature Area,2013-05-14,38.630382,-75.642114,,,,,14.44,,,13.89,0,,,,19.42,clear,15,,0,,8,8,,,6.8,,,,,9,126,0,9,,,,,,,,,,,,,,,,,,,,,,,,,10,90,,,,5,10,80,5,,
,Scotch Bonnett Creek,2013-05-11,39.05,-74.77,,,,,,,,19.5,,4.2,,,,,,,33.2,,8.6,,,,7.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Point State Park,2013-05-08,39.218202,-76.418055,12:00 pm,"Audubon Watershed Experience 
National Audubon Society at Patterson Park",,,19.44,,,20,16,,,,,,,,5,,2,1,,,8.5,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,North Point State Park,2013-05-06,39.218202,-76.418055,12:00 pm,"Audubon Watershed Experience 
National Audubon Society at Patterson Park
",,,,,,17.78,22,,,,,,,,5,,2,2,,,8.5,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Scotch Bonnett Creek,2013-05-05,39.05,-74.77,,,,,,,,14.9,,29.25,,,,,,,35.2,,8.9,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scotch Bonnett Creek,2013-05-05,39.0576,-74.7749,,,,,,,,14,,29.25,,,,,,,35.2,,8.9,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Makemie Park,2013-05-04,37.93363,-75.635636,,,,,,,,17,,,,,,,,,15,,7.09,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Makemie Park,2013-05-04,37.93363,-75.635636,,,,,,,,17,,,,,,,,,15,,7.09,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Point State Park,2013-05-03,39.218202,-76.418055,12:00 pm,"Audubon Watershed Experience 
National Audubon Society at Patterson Park",,,22.22,,,15.56,13,,,,,,,,6.5,,2,1,,,8,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Scotch Bonnett Creek,2013-04-28,39.05,-74.77,,,,,,,,15.7,,36.2,,,,,,,34.7,,8.1,,,,7.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Wetlands Institute,2013-04-28,39.051,-74.778,,,,,,,,15.7,,36.2,,,,,,,34.8,,8.1,,,,7.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wetlands Institute,2013-04-28,39.051119,-74.778691,,,,,,,,15.7,,36.2,,,,,,,34.8,,8.1,,,,7.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Point State Park,2013-04-18,39.218202,-76.418055,12:00 pm,"Audubon Watershed Experience 
National Audubon Society at Patterson Park",,,,,,15.56,15,,,,,,,,5.4,,2.5,1,,,8,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,North Point State Park,2013-04-16,39.218202,-76.418055,12:00 pm,"Audubon Watershed Experience 
National Audubon Society at Patterson Park",,,21.11,,,15.56,29,,,,,,,,7.5,,4,2,,,7.5,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Kent School,2013-04-11,39.162478,-76.052912,,,,,28,,,17,,47,,,,,,,11,,5.5,0,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Makemie Park,2013-04-06,37.93363,-75.635636,,,,,10,,,17,,,,,,,,,15,,9.08,2,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,St. Mary's High School,2013-03-20,38.973828,-76.487696,,,,,16,,,7,,120,,,,,,,10,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mispillion River @ Fishing Branch (RM 7.6),2013-01-08,38.955836,-75.393277,06:00 pm,,,,,,,4.6,,,,,,,,,1.03,,10.77,,,,7.3,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Makemie Park,2012-12-01,37.93363,-75.635636,,,,"1,030.14",,,,10,,,,,,clear but tea-colored,65,,15,,11.41,5,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CBGS Bowling Green Water Quality Site 5,2012-11-27,37.98963,-77.242719,,,,,7.7,,,12.9,,,,,,,,,0,,6.5,,,,5.8,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CBGS Bowling Green Water Quality Site 3,2012-11-27,38.034938,-77.3131,,,,,10.2,,,9,,,,,,,,,0,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Karen Noonan Center dock,2012-11-27,38.22037,-76.038584,,,,"1,020.02",6.39,,,5.56,,116.84,,,,,,,20,,4.4,0.2,,0.06,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CBGS Bowling Green Water Quality Site 4,2012-11-16,38.015331,-77.279626,,,,,11.2,,,9,,,,,,,,,0,,6.4,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CBGS Bowling Green Water Quality Site 2,2012-11-16,38.049269,-77.330266,,,,,17.5,,,19.7,,,,,,clear but tea-colored,,,0,,6.8,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CBGS Bowling Green Site 1,2012-11-16,38.071029,-77.340394,,,,,18.4,,,15.2,,,,,,clear but tea-colored,,,0,,6.5,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Makemie Park,2012-11-04,37.93363,-75.635636,,,,,,,,11,,,,,,,,,10,,9.75,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lower Hoopers Island,2012-10-24,38.236765,-76.119281,,,,,,,,17.22,,152.4,,,,,,,20,,10,1.05,,0.71,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Point State Park,2012-10-18,39.218202,-76.418055,12:00 pm,"Audubon Watershed Experience 
National Audubon Society at Patterson Park",,,21.67,,,17.78,,,,,,,,,15,,4,2,,,8,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,North Point State Park,2012-10-18,39.218202,-76.418055,,,,,21.67,,,17.78,,19.5,,,,,,,15,,4,2,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Messongo Creek_Marsh Market Road,2012-10-08,37.902762,-75.653821,,,62,"1,013",23.4,,,26,,,,,,,,,16,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Point State Park,2012-10-05,39.218202,-76.418055,12:00 pm,"Audubon Watershed Experience 
National Audubon Society at Patterson Park",,,27.78,,,21.67,23.4,,,,,,,,10,,4,2,,,7.5,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,North Point State Park,2012-10-05,39.218202,-76.418055,,,,,27.78,,,21.11,,56.1,,,,,,,10,,4,2,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Janes Island State Park,2012-10-03,37.997279,-75.862905,,,87,,29.44,,,26,,66.04,,,,clear but tea-colored,15,,19.6,,4,1,,0,7.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Point State Park,2012-09-21,39.218202,-76.418055,12:00 am,"Audubon Watershed Experience 
National Audubon Society at Patterson Park",,,25.56,,,22.78,25,,,,,,,,9,,3,1,,,7.5,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,North Point State Park,2012-09-21,39.218202,-76.418055,,,,,23.89,,,22.22,,40.5,,,,,,,10,,4,1,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Point State Park,2012-09-20,39.218202,-76.418055,,,,,22.22,,,18.33,,39,,,,,,,10,,4,1,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Point State Park,2012-09-19,39.218202,-76.418055,12:00 pm,"Audubon Watershed Experience 
National Audubon Society at Patterson Park",,,22.22,,,18.33,39,,,,,,,,10,,4,1,,,8,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,North Point State Park,2012-09-19,39.218202,-76.418055,,,,,22.22,,,18.33,,39,,,,,,,10,,4,1,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Point State Park,2012-09-19,39.218202,-76.418055,,,,,22.22,,,18.33,,39,,,,,,,10,,4,1,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Boat House Creek - Pickering Creek,2012-08-16,38.864983,-76.104885,,,,,,,,33.11,,43.18,,,,muddy,15,,13.51,,10.7,0,,,8.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Karen Noonan Center dock,2012-08-10,38.22037,-76.038584,,,,,27.22,,,27.22,,60.96,,,,,,,19,,6,2.2,,0.09,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Port Isobel,2012-08-05,37.832723,-75.977229,,,,,,,,26,,96.52,,,,,,,20,,3.5,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mackemie Park,2012-08-04,37.933692,-75.635604,,,,"1,021.38",30.56,,,30,,,,,,clear but tea-colored,,,4,,4,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mackemie Park,2012-08-04,37.933692,-75.635604,,,,,,,,29.5,,,,,,clear but tea-colored,,,5,,2.28,5,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mackemie Park,2012-08-04,37.933692,-75.635604,,,,"1,021.38",29.44,,,29.5,,,,,,,,,4,,2.28,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hooper's Strait,2012-08-01,38.203512,-76.025294,,,,,25.7,,,28.5,,,,,,,,,16.1,,7.5,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Southern Tangier Sound,2012-07-24,37.836156,-75.961608,,,,,,,,28,,175.26,,,,,,,18,,6.5,0.4,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Port Isobel,2012-06-01,37.832723,-75.977229,,,,,17,,,24,,30.5,,,,,,,10,,7,2,,0.14,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Point State Park,2012-05-30,39.218202,-76.418055,12:00 pm,"Audubon Watershed Experience 
National Audubon Society at Patterson Park",,,,,,25.56,28,,,,,,,,4.5,,2,1,,,8,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Arlington Echo Outdoor Education Center,2012-05-22,39.07777,-76.605179,,,91,,18,,,21,,61,,,,,,,8,,7.68,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arlington Echo Outdoor Education Center,2012-05-22,39.07777,-76.605179,,,94,,20,,,21,,82,,,,,,,8.5,,6.9,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arlington Echo Outdoor Education Center,2012-05-21,39.07777,-76.605179,,,95,,18,,,21,,71.5,,,,,,,8.6,,6.65,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Port Isobel,2012-05-14,37.832723,-75.977229,,,,,25,,,18,,84.5,,,,,,,10,,11,3.1,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Point State Park,2012-05-10,39.218202,-76.418055,12:00 pm,"Audubon Watershed Experience 
National Audubon Society at Patterson Park",,,16.67,,,17.22,33,,,,,,,,5,,4,1.5,,,8,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,North Point State Park,2012-05-09,39.218202,-76.418055,12:00 pm,"Audubon Watershed Experience 
National Audubon Society at Patterson Park",,,,,,15.56,23,,,,,,,,5.5,,4,1,,,7.5,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Port Isobel,2012-04-22,37.832723,-75.977229,,,,,15,,,17,,94,,,,,,,10,,7,3.2,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Point State Park,2012-04-18,39.218202,-76.418055,12:00 pm,"Audubon Watershed Experience 
National Audubon Society at Patterson Park",,,16.11,,,15.56,17,,,,,,,,0,,4,1,,,8.5,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Hooper's Strait,2012-04-18,38.203512,-76.025294,,,,,,,,10.8,,121.92,,,,,,,12.2,,10,,,0.32,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R1,2012-04-07,38.884,-76.529,,,,,,,,29.8,,0.5,,,,,,,12.71,21.34,7.64,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hooper's Strait,2012-03-26,38.203512,-76.025294,,,,,,,,14.8,4,129.54,,,,,,,13,,8.08,0.7,,0.17,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Port Isobel,2012-03-21,37.832723,-75.977229,,,,,18,,,5,,72,,,,,,,10,,10,1.9,,1.7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Karen Noonan Center dock,2012-03-12,38.22037,-76.038584,,,,,,,,11.22,13,60.96,,,,,,,9.5,,11.39,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Point State Park,2012-02-27,39.218202,-76.418055,06:00 pm,"Audubon Watershed Experience 
National Audubon Society at Patterson Park",,,20,,,18.33,,17.5,,,,,,,0,,4,2,,,8,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Hooper's Strait,2011-11-18,38.203512,-76.025294,,,,,7.78,,,12,3,,,,,,,,11.3,,9.87,0.9,,0.06,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hooper's Strait,2011-11-18,38.203512,-76.025294,,,,,7.78,,,12,3,,,,,,,,11.3,,9.87,0.9,,0.06,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Port Isobel,2011-11-17,37.832723,-75.977229,,,,,5.56,,,10,,39,,,,muddy,,,14,,11.5,0.4,,3.5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Point State Park,2011-11-10,39.218202,-76.418055,06:00 pm,"Audubon Watershed Experience 
National Audubon Society at Patterson Park",,,,,,12.22,,31,,,,,,,0,,4,2,,,8,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,North Point State Park,2011-11-09,39.218202,-76.418055,06:00 pm,"Audubon Watershed Experience 
National Audubon Society at Patterson Park",,,,,,15,,18.2,,,,,,,1,,2,1,,,8,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,North Point State Park,2011-11-09,39.218202,-76.418055,06:00 pm,"Audubon Watershed Experience 
National Audubon Society at Patterson Park",,,,,,16.11,,27,,,,,,,0,,3,2,,,7.5,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Port Isobel,2011-11-06,37.832723,-75.977229,,,,,12.22,,,11.11,,101.6,,,,clear,,,10,,11,2,,0.6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hooper's Strait,2011-10-27,38.203512,-76.025294,,,,,,,,16,4,,,,,,,,11,,9,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tylerton CBF Dock,2011-10-27,37.968679,-76.023577,,,,,,,,17,3.4,,,,,,,,12,,9.7,,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Swann Park,2011-10-27,39.266182,-76.62038,,,,,14.44,,,15.56,,,,,,,,,3,,3,1,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Swann Park,2011-10-26,39.266182,-76.62038,,,,,14.44,,,15.56,,,,,,,,,1,,2,0,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Port Isobel,2011-10-23,37.832723,-75.977229,,,,,23,,,19,,91.44,,,,,,,15,,8,2.8,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-10-20,38.866854,-76.113227,,,,,18,,,18,,79,,,,,,,9,,2,0.5,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-10-14,38.866854,-76.113227,,,,,20,,,19,,61,,,,,,,6,,2.5,,0.5,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-10-08,38.866854,-76.113227,,,,,18,,,19,,30.48,,,,,,,9,,2,0.5,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Point State Park,2011-10-06,39.218202,-76.418055,06:00 pm,"Audubon Watershed Experience 
National Audubon Society at Patterson Park",,,23.89,,,16.67,,18,,,,,,,0,,4,2,,,7.5,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Indian Creek,2011-10-06,39.076657,-76.605483,,,,,,,,19.44,22,,,,,,,,4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indian Creek,2011-10-06,39.076657,-76.605483,,,,,,,,21.11,20,,,,,,,,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Karen Noonan Center dock,2011-10-05,38.22037,-76.038584,,,,,18.33,,,18,7.5,60.96,,,,,,,12,,11.35,2,,0.19,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indian Creek,2011-10-05,39.076657,-76.605483,,,,,,,,19.44,27,,,,,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Port Isobel,2011-10-01,37.832723,-75.977229,,,,,14,,,14,,53.34,,,,,,,14,,5.5,1.4,,0.9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Port Isobel,2011-10-01,37.832723,-75.977229,,,,,17,,,25,,80.01,,,,,,,17,,10,2.2,,1.6,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
